Generation	Smiles	Inchi	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms	ESOL	Heteroatoms/Carbons	VDW Volume	H/C	O/C
G4	C1(C(C(CC1O)O)O)=O	UYXNQXGILWQCMO	132.042258736	C5H8O4	5	8	4	-1.5547	-0.335	4	3	77.76	0.8525	4	0.8396890405573318	0.8	115.5	1.6	0.8
G4	C(C(CO)C(CCO)O)=O	LPRRSVCCPPMUTK	148.073558864	C6H12O4	6	12	4	-1.4555	-0.249	4	3	77.76	-4.2768	4	0.3835632737607647	0.6666666666666666	144.99	2.0	0.6666666666666666
G4	C(C(CO)C(C(C=O)O)O)=O	LSXJNSZWMLDYSX	162.05282342	C6H10O5	6	10	5	-2.6896	-0.065	5	3	94.83	-3.2846	5	0.9011823161634096	0.8333333333333334	147.22	1.6666666666666667	0.8333333333333334
G4	C(C(CO)C(CO)(CO)O)=O	PQESEVRWNSLGOR	164.068473484	C6H12O5	6	12	5	-2.456	0.419	5	4	97.99	-4.2278	5	1.0398918846891785	0.8333333333333334	154.55	2.0	0.8333333333333334
G4	C(CO)(C(C(CCO)O)O)=O	XHRNJZRZXZGBMY	164.068473484	C6H12O5	6	12	5	-2.1552	0.096	5	4	97.99	-0.17952	5	0.9342033464806008	0.8333333333333334	157.69	2.0	0.8333333333333334
G4	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI	148.037173356	C5H8O5	5	8	5	-2.8219	0.151	5	3	94.83	-1.1285	5	1.1729555245963417	1.0	132.98	1.6	1.0
G4	C(CO)(C(C(C=CC)O)O)=O	RYCHFSRHCLUTFG	160.073558864	C7H12O4	7	12	4	-1.0263	-0.453	4	3	77.76	-1.0966	4	0.071791776483492	0.5714285714285714	159.27	1.7142857142857142	0.5714285714285714
G4	C(CO)(C(C(CC=C)O)O)=O	JQKKLRZBJKKYKA	160.073558864	C7H12O4	7	12	4	-0.9596	-0.62	4	3	77.76	-1.0595	4	0.0752433220494496	0.5714285714285714	161.26	1.7142857142857142	0.5714285714285714
G4	C(C(C=C)C(CO)(CO)O)=O	HGCVVBPIYXZFHU	160.073558864	C7H12O4	7	12	4	-1.2604	-0.297	4	3	77.76	-7.0237	4	0.1809318602580284	0.5714285714285714	158.5	1.7142857142857142	0.5714285714285714
G4	C(C(C(C(C(O)=O)=O)O)O)=CC	SPTSHTNHKIYNET	174.05282342	C7H10O5	7	10	5	-1.3759	-0.435	5	3	94.83	-9.2658	5	-0.0891466801105514	0.7142857142857143	158.59	1.4285714285714286	0.7142857142857143
G4	C(CC(C(C(C(O)=O)=O)O)O)=C	CGSUUBFQEYBUHN	174.05282342	C7H10O5	7	10	5	-1.3092	-0.602	5	3	94.83	-9.1907	5	-0.0856951345445934	0.7142857142857143	163.64	1.4285714285714286	0.7142857142857143
G4	C(C(C=C)C(C(O)=O)(CO)O)=O	AWDGWTFUKQQJCS	174.05282342	C7H10O5	7	10	5	-1.61	-0.279	5	3	94.83	-4.0975	5	0.0199934036639849	0.7142857142857143	160.57	1.4285714285714286	0.7142857142857143
G4	C(C(C=C)C(C(C(O)=O)O)O)=O	SJZRASXLILFQKA	174.05282342	C7H10O5	7	10	5	-1.6313	-0.548	5	3	94.83	-4.0263	5	0.0211800819877302	0.7142857142857143	159.9	1.4285714285714286	0.7142857142857143
G4	C(CC(C(CO)C(C)O)O)=O	IJELXDASVZBMMQ	162.089208928	C7H14O4	7	14	4	-1.0962	-0.627	4	3	77.76	-3.2191	4	0.0026499815532964	0.5714285714285714	159.73	2.0	0.5714285714285714
G4	C(C(CO)C(CC=O)O)(O)=O	BYFVAUICPMKDDJ	162.05282342	C6H10O5	6	10	5	-1.8051	-0.231	5	3	94.83	-1.8189	5	0.222624817166721	0.8333333333333334	147.91	1.6666666666666667	0.8333333333333334
G4	C(CC(C(C(CO)O)=O)O)=O	ZJCIIXYSVSASQO	162.05282342	C6H10O5	6	10	5	-2.3675	-0.119	5	3	94.83	-1.2863	5	0.7943070996310865	0.8333333333333334	149.53	1.6666666666666667	0.8333333333333334
G4	C(C(C(CO)O)(CC=O)O)=O	TXIVWMLJMZFCNJ	162.05282342	C6H10O5	6	10	5	-2.5273	-0.014	5	3	94.83	-3.3059	5	0.7943070996310871	0.8333333333333334	148.14	1.6666666666666667	0.8333333333333334
G4	C(CC(CC(CC=O)O)O)(O)=O	ZRWVYMYNRQBSNY	176.068473484	C7H12O5	7	12	5	-1.2097	-0.719	5	3	94.83	-1.3711	5	-0.2617121460071118	0.7142857142857143	165.57	1.7142857142857142	0.7142857142857143
G4	C(C(C(CC=O)O)C(C)O)(O)=O	LYOZQSQTEXUSOK	176.068473484	C7H12O5	7	12	5	-1.4458	-0.609	5	3	94.83	-2.4066	5	-0.1582884750407467	0.7142857142857143	165.72	1.7142857142857142	0.7142857142857143
G4	C(CC(CC(C(CO)=O)O)O)=O	SOGAVCGXUDYGJE	176.068473484	C7H12O5	7	12	5	-1.9131	-0.389	5	3	94.83	-0.21046	5	0.4156586746658313	0.7142857142857143	168.01	1.7142857142857142	0.7142857142857143
G4	C(CC(C(CO)(CC=O)O)O)=O	AKPFQQOYLJSYAD	176.068473484	C7H12O5	7	12	5	-2.0729	-0.284	5	3	94.83	-5.0215	5	0.4156586746658311	0.7142857142857143	164.95	1.7142857142857142	0.7142857142857143
G4	C(CC(C(C(C(C)O)O)=O)O)=O	CERFZCXKHSEBOU	176.068473484	C7H12O5	7	12	5	-2.0082	-0.497	5	3	94.83	-1.5817	5	0.4133938074236188	0.7142857142857143	167.95	1.7142857142857142	0.7142857142857143
G4	C(C(CO)(CC(CC=O)O)O)=O	JOSOCCWADUOCPZ	176.068473484	C7H12O5	7	12	5	-2.0729	-0.284	5	3	94.83	-6.3381	5	0.4156586746658311	0.7142857142857143	165.52	1.7142857142857142	0.7142857142857143
G4	C(C(C(C(C)O)O)(CC=O)O)=O	ZJCWVTVBEZYDBK	176.068473484	C7H12O5	7	12	5	-2.168	-0.392	5	3	94.83	-3.5554	5	0.4133938074236193	0.7142857142857143	163.3	1.7142857142857142	0.7142857142857143
