Generation	Canonical Code
G0	1daa670b9600caf8
G0	bac7b10dfa4a093d
G0	cbbb7a607b282df1
G1	161213d4f77b7816
G1	1ba88bb18740080b
G1	39663a2e586ea8e1
G1	42bf1179a6149d6c
G1	56078f5a84ee639d
G1	59e51233ba2e5c74
G1	6585d57f65442def
G1	6aeb1fd46af7f587
G1	6b3f7795f2dc8ea0
G1	734db4e9037cf269
G1	85b1698d743eec3
G1	8f4c166326168791
G1	959ab29b7cdeeb7c
G1	aabbc500a500b0d
G1	bac7b3fc2de3ea02
G1	c9f583b2eb711cf6
G1	d5835cd62060064b
G1	e63bafa0e543f68
G2	125710ecfc8c07f0
G2	13926427f69f5376
G2	15e33ccbb4da92e0
G2	17cdb7b8f3f4ded3
G2	1aef8a5018f6ed92
G2	1dc47815ffa34ef
G2	1de645b8c2038e9d
G2	1ed7db63df6fb7a2
G2	1f4783d147663298
G2	20185389e3583c2a
G2	265fc7c27bb56c9c
G2	2b86e7bfc072449a
G2	2baa9f2e8166b2e2
G2	2c277f4a89902081
G2	2cc5992e6f6cd46c
G2	2fc24233f197793f
G2	3047f3f0fddc3c1d
G2	311cea28c7f849c2
G2	33f8f4c031e45d4a
G2	364b1ed8493338a6
G2	36dff7308fd5d721
G2	3b4147a7ffa74d74
G2	3b6ba16f50fd7c4a
G2	3b96de4c756659d5
G2	3c4119e3ec77e125
G2	3ca703018b14db42
G2	3eab149e29437aa4
G2	3ed1ad702cefb739
G2	413fd100d1f8cdea
G2	4331e87b9b4acec6
G2	4384c626914466b0
G2	44e1f25f398f2d85
G2	477797a50f984fbf
G2	480589c4a9a491a6
G2	4864484119f66e25
G2	48f5951634094c71
G2	4907527a20b1d286
G2	4949a894a055de0b
G2	4c379b70339c0166
G2	501c274c55219e02
G2	528483f00afa3112
G2	533115060f082bfd
G2	55da582c8bbb7f2e
G2	5756711b6cf11d84
G2	5956d8f1261291c4
G2	5add6d2ac169e994
G2	5bd48b272c20cf4b
G2	5dc74e458cef15da
G2	5f6960a4392c55ac
G2	603732891d1aaa95
G2	60f68f3b4928c106
G2	621736cd8110a18b
G2	65a84f939d230704
G2	698d4f0f8e28e224
G2	6b4830e928b2c14e
G2	6bf434b96704efba
G2	6c2886008dd1b935
G2	6d07433b644e066d
G2	6dbd69787579be0f
G2	6e1a196ea04f2c94
