Generation	Inchi	Smiles	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G4	CAUSKBOQIZJXCD	C(C(C(C=O)=O)O)(N)=CCO	159.053157768	C6H9NO4	6	9	4.0	-2.1624	-0.297	5	3	100.62	-1.2015
G4	DDSSIZYZOBHJBC	C1(C(C(CO)O)OC(C=1)=O)N	159.053157768	C6H9NO4	6	9	4.0	-2.3626	-0.494	5	3	92.78	-1.7231
G4	JOXJWPPFJVBLKP	C1(C(C(CO)OC(C=1)=O)O)N	159.053157768	C6H9NO4	6	9	4.0	-2.3053	-0.494	5	3	92.78	-1.5958
G4	BHGVTPHLZIQRBA	C1(C(C(N)=CC(CO)O1)O)=O	159.053157768	C6H9NO4	6	9	4.0	-2.3053	-0.494	5	3	92.78	-1.1089
G4	QBSYFBPIYDXXEY	C1(C(C(COC(C=1)=O)O)O)N	159.053157768	C6H9NO4	6	9	4.0	-2.2134	-0.494	5	3	92.78	-4.3354
G4	YSKSQNCSJXXEEW	C1(C(C(N)=CC(CO1)O)O)=O	159.053157768	C6H9NO4	6	9	4.0	-2.2134	-0.494	5	3	92.78	-0.59553
G4	GNUMNVJUDLAPLJ	C1C2C(C(C(C=1)(O2)O)O)O	144.042258736	C6H8O4	6	8	4.0	-1.4883	-0.49	4	3	69.92	-3.5513
G4	PXQKLWYOVKMKOT	C1C(C(CO)O)OC(C=1N)O	161.068807832	C6H11NO4	6	11	4.0	-2.1469	-0.326	5	4	95.94	0.19084
G4	SNOQROFSBAFYGA	C1C2(C(OC(C=1)C2O)O)O	144.042258736	C6H8O4	6	8	4.0	-1.4546	-0.352	4	3	69.92	0.15314
G4	OXRAJIXERKIMHW	C1C(C(CO)OC(C=1N)O)O	161.068807832	C6H11NO4	6	11	4.0	-2.0896	-0.326	5	4	95.94	0.0020458
G4	LMVLBMPRWRCURB	C=C1C(C(C(CO1)O)O)O	146.0579088	C6H10O4	6	10	4.0	-1.1884	-0.711	4	3	69.92	-9.4655
G4	HANXSVQVAFTGKZ	C1(C(C(C(C(O1)=C)O)O)O)=O	160.037173356	C6H8O5	6	8	5.0	-1.7546	-0.693	5	3	86.99	-8.412
G4	BDGFOPMEWWOBOP	C1C(C(COC(C=1N)O)O)O	161.068807832	C6H11NO4	6	11	4.0	-1.9977	-0.326	5	4	95.94	-3.108
G4	MXBDVMGNAZUUFP	C1C(C(COC(C=1)O)O)O	146.0579088	C6H10O4	6	10	4.0	-1.1001	-0.319	4	3	69.92	-3.6051
G4	NUVJYZGUPGBLPA	C1C(C(C(OCC=1)O)O)O	146.0579088	C6H10O4	6	10	4.0	-1.1001	-0.319	4	3	69.92	-0.3615
G4	KRXCAHREIBCNPD	C(C(C=CC(CO)O)N)(O)=O	161.068807832	C6H11NO4	6	11	4.0	-3.8286	-0.082	5	4	103.78	-7.7443
G4	XNAUSUVBDKISHM	C1(C(C(C(C1O)O)O)O)O	150.05282342	C5H10O5	5	10	5.0	-2.5505	0.115	5	5	101.15	-0.79823
