Generation	Inchi	Smiles
G2	KXMAOQJMLAAVJY	C(C(C(CO)N)O)=O
G2	CFIPTNRUUCHLRU	C(C(CC(C(CO)O)N)=O)=O
G2	OGOOLELVTMLOGV	C(CC(C(C(CO)N)O)=O)=O
G2	CWKBVHWILPQTCU	C(C(C(CC(CO)N)=O)O)=O
G2	NFNWRWYCUZAEON	C(CC(C=O)N)(C(CO)O)=O
G2	FDTPCSIZIQTINL	C(CC(C=O)O)(C(CN)O)=O
G2	RBDNNFSBBBQPHT	C(C(C(C(CCO)=O)O)N)=O
G2	YFKHBAKJIYEAQE	C(C(C(C=O)O)O)(CCN)=O
G2	ZROWQRUORDMNAS	C(CC(C(C(C=O)O)O)N)=O
G2	FMAORJIQYMIRHF	C1C(C(C(O)O1)O)O
G2	XCOLHFJYVWHMEU	C(C1(CC(C(CO)O1)O)O)=O
G2	OJFNRRYMUBSATR	C(CC1(C(C(CO1)O)O)O)=O
G2	XSOCZPWENAPSDW	C(C(C1(CC(CO1)O)O)O)=O
G2	DNFROWGDJNTHSQ	C(C1C(CC(CO)(O1)O)O)=O
G2	DUPMVEXRXRIHES	C(C1C(C(C(C)(O1)O)O)O)=O
G2	DLPYFNDTPUTRMF	C(C(C1C(CC(O)O1)O)O)=O
G2	LBJWYRASHSNTEP	C(C1(CC(C(CO1)O)O)O)=O
G2	MRAMFUAQJIBLST	C(C1C(C(CC(O1)O)O)O)=O
G2	BPJVQNJYFQFSLO	C(C(C(CO)O)O)(C(CN)O)=O
G2	WENKHRNUXJHGLX	C(CO)(C(C(C(CO)O)O)N)=O
G2	WZDHWMRAASHPBX	C(CN)(C(CO)O)=O
G2	FZHXIRIBWMQPQF	C(C(C(C(C(CO)O)O)O)N)=O
G2	GVVRLZJIZJWSMN	C(C(C(CO)O)O)(C(CO)N)=O
G2	QXIZHCOANVTGFW	C(C(C(CO)O)O)(C(CN)N)=O
G2	QQXFGEUJKYXWND	C(CC(C(C(CO)O)=O)N)=O
G2	QXITZEVATLWTSU	C(C(CN)=O)(CC(CO)O)=O
G2	AKPTYEPQBXADSU	C(C(C(CC(CO)O)N)=O)=O
G2	NYUCQZKJTPTIPO	C(C(CO)O)(CC(CN)=O)=O
G2	KKYLFHXPUXAHIL	C(C(CC(C(CO)=O)N)O)=O
G2	TWFHIZFWGIYXLI	C(CCO)(C(C(CN)=O)O)=O
G2	CWMKSPUMOZECES	C(C(C(C(CCO)N)=O)O)=O
G2	FQEIXDZDGYVPNN	C(CN)(C(CC(CO)=O)O)=O
G2	VPDIKTZDHYWIDA	C(C(CC(C(C=O)O)O)N)=O
G2	SQOIZOFSPPKOGH	C(C)(C(C(C(CN)=O)O)O)=O
G2	RWAJAMVSHPQTTE	C(CC(C(C(CN)=O)O)O)=O
G2	YHSJBTWEGHPLNL	C(CN)(C(C(C(CO)O)O)N)=O
G2	UFVAKBOWVFHGBO	C(C(C(C(C(CO)O)N)O)O)O
G2	LNCPBFQXTAGTEN	C(CC(C(C(CO)O)N)=O)=O
G2	AEIDOSPMECBBFD	C(C(C(CC(CO)O)=O)N)=O
G2	AHIYIUNMGXQPLE	C(CC(C=O)O)(C(CO)N)=O
G2	QWEHPYRKIXUATR	C(C(C(C=O)O)N)(CCO)=O
G2	IQUYTNXYQLFGFJ	C(C(C(C(C(C)=O)N)O)O)=O
