Generation	Smiles
G4	C(C)(C(C(CC(C)O)O)O)=O
G4	C(C(C(C)O)C(C(O)=O)O)=O
G4	C(C(C(CC(O)=O)O)C(C)O)=O
G4	C(C(C=O)C(CC(C)O)O)(O)=O
G4	C(C(C(C)O)C(C(O)=O)(C)O)=O
G4	C(C(CC(CC(C)O)O)=O)(O)=O
G4	C(C(CO)C(C(C=O)CO)O)=O
G4	C(C(CO)C(CC(CO)=O)O)=O
G4	C(C(CO)C(C(C(C)=O)O)O)=O
G4	C(C(CO)C(CCO)O)=O
G4	C(C(CO)C(C(C(C)O)O)O)=O
G4	C(C(CO)C(CC(CO)O)O)=O
G4	C(C(C(CO)O)C(CCO)O)=O
G4	C(C(CO)C(C(CO)=O)O)=O
G4	C(C(CO)C(C=O)(CO)O)=O
G4	C(C(C(C(CCO)O)O)=O)=O
G4	C(C(CO)C(C(C)=O)(CO)O)=O
G4	C(C(CO)C(C(CO)=O)(C)O)=O
G4	C(C(C)=O)(C(C(CCO)O)O)=O
G4	C(C(CO)=O)(CC(CCO)O)=O
G4	C(C(CO)C(C=O)(C(C)O)O)=O
G4	C(C(CO)C(C(C(C)O)=O)O)=O
G4	C(C(CO)C(C)(CO)O)=O
G4	C(CO)(CC(CCO)O)=O
G4	C(C)(C(C(CCO)O)O)=O
G4	C(C(CO)C(CO)(CCO)O)=O
G4	C(C(C(CCO)O)O)(CCO)=O
G4	C(CO)(C(CO)C(CCO)O)=O
G4	C(C(CO)C(C(CCO)O)O)=O
G4	C(C(CO)C(C)(C(CO)O)O)=O
G4	C(C(CO)O)(CC(CCO)O)=O
G4	C(C(CO)C(C(O)=O)O)=O
G4	C(C(CO)C(CC(O)=O)O)=O
G4	C(C(C=O)C(CCO)O)(O)=O
G4	C(C(CO)C(C(O)=O)(C)O)=O
G4	C(C(CC(CCO)O)=O)(O)=O
G4	C(C(CO)C1(COCC1O)O)=O
G4	C1(C(C(CCO)O)OCC1O)=O
G4	C(C(CO)C1(C(O)OCC1)O)=O
G4	C1(C(O)OCC1C(CCO)O)=O
G4	C(C(CO)C1(COC(C1)O)O)=O
G4	C1(COC(C1C(CCO)O)O)=O
G4	C1(C(C(CCO)O)OC(C1)O)=O
G4	C(CO)(CC(C(C(C)O)O)O)=O
G4	C(C)(C(C(C(C(C)O)O)O)O)=O
G4	C(C(C(CO)O)C(C)(CO)O)=O
G4	C(CO)(CC(CC(CO)O)O)=O
G4	C(C)(C(C(CC(CO)O)O)O)=O
G4	C(C(C(C(CO)(C)O)O)=O)=O
G4	C(CO)(C(CC(CO)=O)O)=O
G4	C(C(C)=O)(C(C(CO)(C)O)O)=O
G4	C(C(CO)=O)(CC(CO)(C)O)=O
G4	C(C)(C(CO)(CC(CO)=O)O)=O
G4	C(CO)(C(C)(CC(CO)=O)O)=O
G4	C(C)(C(CO)(C(C(C)=O)O)O)=O
G4	C(CO)(C(C)(C(C(C)=O)O)O)=O
G4	C(C(C(C)O)(CC(CO)=O)O)=O
G4	C(CC(C(C(C)O)=O)O)(CO)=O
G4	C(C(C(C)O)(C(C(C)=O)O)O)=O
G4	C(C(C(C(C(C)O)=O)O)O)(C)=O
G4	C(CO)(CC(CO)(C)O)=O
G4	C(C)(C(C(CO)(C)O)O)=O
G4	C(CO)(CC(CO)(CCO)O)=O
G4	C(C)(C(C(CO)(CCO)O)O)=O
G4	C(C(C(CO)(C)O)O)(CCO)=O
G4	C(CO)(C(CO)C(CO)(C)O)=O
G4	C(CO)(CC(C(CCO)O)O)=O
G4	C(C)(C(C(C(CCO)O)O)O)=O
G4	C(CO)(CC(C)(C(CO)O)O)=O
G4	C(C)(C(C(C)(C(CO)O)O)O)=O
G4	C(C(CO)O)(CC(CO)(C)O)=O
G4	C(CC(CC(CO)=O)O)(O)=O
G4	C(CC(C(C(C)=O)O)O)(O)=O
G4	C(C(C=O)C(C)(CO)O)(O)=O
G4	C(C(C)(CC(CO)=O)O)(O)=O
G4	C(C(C)(C(C(C)=O)O)O)(O)=O
G4	C(C(CC(C)(CO)O)=O)(O)=O
G4	C(CO)(CC1(COCC1O)O)=O
G4	C(C)(C(C1(COCC1O)O)O)=O
G4	C1(C(C(CO)(C)O)OCC1O)=O
G4	C(CO)(CC1(C(O)OCC1)O)=O
G4	C(C)(C(C1(C(O)OCC1)O)O)=O
G4	C1(C(O)OCC1C(CO)(C)O)=O
G4	C(CO)(CC1(COC(C1)O)O)=O
G4	C(C)(C(C1(COC(C1)O)O)O)=O
G4	C1(COC(C1C(CO)(C)O)O)=O
G4	C1(C(C(CO)(C)O)OC(C1)O)=O
G4	C(C(C(C)O)C(C(CO)O)O)=O
G4	C(C(CO)C(C(CO)O)O)=O
G4	C(CO)(CC(C(CO)O)O)=O
G4	C(C)(C(C(C(CO)O)O)O)=O
G4	C(CO)(C(CO)C(C=O)O)=O
G4	C(CO)(C(C(CC(C)O)O)O)=O
G4	C(C(C(C)O)C(CO)(CO)O)=O
G4	C(CO)(C(C(CCO)O)O)=O
G4	C(C(CO)C(CO)(CO)O)=O
G4	C(CO)(C(C(CO)(C)O)O)=O
G4	C(CO)(CC(CO)(CO)O)=O
G4	C(C)(C(C(CO)(CO)O)O)=O
G4	C(C(C=C)(C(C(CO)=O)O)O)=O
G4	C(CO)(C(C(C(C=C)=O)O)O)=O
G4	C(CO)(C(C(C=CC=O)O)O)=O
G4	C(C(C=O)C(C(C(C)O)O)O)=O
G4	C(C(C=O)C(CC(CO)O)O)=O
G4	C(C(C(CC=O)O)C(CO)O)=O
G4	C(C(C=O)C(CO)(CCO)O)=O
G4	C(CC(C(C(CCO)=O)O)O)=O
G4	C(CC(C(C(CO)=O)CO)O)=O
G4	C(C(C=O)C(C(CCO)O)O)=O
G4	C(C(C=O)C(C)(C(CO)O)O)=O
G4	C(CC(CC(C(CO)O)=O)O)=O
G4	C(C(CC(C(C(C)O)O)O)=O)=O
G4	C(C(CC(CC(CO)O)O)=O)=O
G4	C(C(C(CO)O)C(C=O)(C)O)=O
G4	C(C(C(CO)O)C(C(C)=O)O)=O
G4	C(C(CC(CO)(CCO)O)=O)=O
G4	C(C(C)(C(C(CCO)=O)O)O)=O
G4	C(C(C(C(CCO)=O)O)O)(C)=O
G4	C(C(C)(C(C(CO)=O)CO)O)=O
G4	C(CO)(C(CO)C(C(C)=O)O)=O
G4	C(C(CC(C(CCO)O)O)=O)=O
G4	C(C(CC(C)(C(CO)O)O)=O)=O
G4	C(C(C)(CC(C(CO)O)=O)O)=O
G4	C(CC(C(C)=O)O)(C(CO)O)=O
G4	C(C(C(CO)C(CCO)O)=O)=O
G4	C(C(CO)C(C=O)(CCO)O)=O
G4	C(C(CO)C(C(CCO)=O)O)=O
G4	C(C(C(CO)C(C)(CO)O)=O)=O
G4	C(C(CCO)(CC(CO)=O)O)=O
G4	C(CC(C(CCO)=O)O)(CO)=O
G4	C(C(CCO)(C(C(C)=O)O)O)=O
G4	C(C(C(CCO)O)C(C=O)O)=O
G4	C(C(CO)C(C(CC=O)O)O)=O
G4	C(C(CO)C(CC(C=O)O)O)=O
G4	C(C(C(CO)(C)O)C(C=O)O)=O
G4	C(CC(C(CC(CO)=O)O)O)=O
G4	C(C(CC(CC(CO)=O)O)O)=O
G4	C(CC(C(C(C(C)=O)O)O)O)=O
G4	C(C(CC(C(C(C)=O)O)O)O)=O
G4	C(C(C(CO)=O)C(CCO)O)=O
G4	C(CC(C(C(CCO)O)O)=O)=O
G4	C(C(CO)C(CO)(CC=O)O)=O
G4	C(C(C(CO)=O)C(CO)(C)O)=O
G4	C(CC(C(C(CO)(C)O)O)=O)=O
G4	C(CO)(CC(CC(CO)=O)O)=O
G4	C(CC(CO)(CC(CO)=O)O)=O
G4	C(C)(C(C(CC(CO)=O)O)O)=O
G4	C(CC(CO)(C(C(C)=O)O)O)=O
G4	C(C(C(CC(CCO)O)=O)O)=O
G4	C(C(CO)C(C)(C(C=O)O)O)=O
G4	C(C(C(CC(CO)(C)O)=O)O)=O
