Generation	Smiles
G4	C(C(C(C(C)O)(C(C)O)O)=O)=O
G4	C(C(C(C)O)(C(C)O)O)(O)=O
G4	C(C(C=O)(C(C)O)O)(O)=O
G4	C(C(C(C)=O)(CO)C(C)O)(O)=O
G4	C(C(C=O)(C(CC(C)O)O)O)=O
G4	C(C(CO)(CO)C(C)O)=O
G4	C(C(C=O)(CO)CO)(O)=O
G4	C(C(C(CO)(CO)O)=O)=O
G4	C(C(C=O)(CO)O)(O)=O
G4	C(C(C(C)=O)(CO)CO)(O)=O
G4	C(C(C)(C(CCO)O)O)(O)=O
G4	C(C(C)(C(C=O)O)O)(O)=O
G4	C(C(C)(C(C=CC)O)O)(O)=O
G4	C(C(C)(C(CC=C)O)O)(O)=O
G4	C(C(CO)=O)(C(C)(C(C)O)O)=O
G4	C(C(C)(C(C)O)O)(O)=O
G4	C(C(C)(C(CC(C)O)O)O)(O)=O
G4	C(CO)(C(CO)(CC=O)O)=O
G4	C(C(CO)=O)(C(CO)(C)O)=O
G4	C(C(C(CCO)O)O)(O)=O
G4	C(C(C(C=CC)O)O)(O)=O
G4	C(C(C(CC=C)O)O)(O)=O
G4	C(C(C(C(O)=O)=C)O)(O)=O
G4	C(C(C=CC(C)O)(CO)O)(O)=O
G4	C(C(C=CC(C)O)O)(O)=O
G4	C(C(C=CC(O)=O)O)(O)=O
G4	C(C(C(C=C)O)O)(O)=O
G4	C=C(C(O)=O)C(CO)O
G4	CC(C(CO)(CO)O)O
G4	CC(CC(C(CO)O)O)O
G4	CC(C(CO)(C(C)O)O)O
G4	C(CC(C(CO)O)O)(O)=O
G4	C(CO)(C(C(CO)O)O)=O
G4	C(C(CO)(C(CO)O)O)=O
G4	C(C(CO)O)O
G4	C(C(CO)C(CO)O)(O)=O
G4	C(C(CO)(CCO)O)(O)=O
G4	C(C1C(C)OC(CO)(C1O)O)=O
G4	C(C1C(C)OC(C1(CO)O)O)=O
G4	C(C1(COC(C1C(C)O)O)O)=O
G4	C1(C(O)OC(CC(C)O)C1O)=O
G4	C(C1C(O)OC(C)CC1O)(O)=O
G4	C1(COC(C(C(C)O)C1O)O)=O
G4	C(C1(C(C(CC(C)O1)O)O)O)=O
G4	C(C1(CC(O)OC(C)C1)O)(O)=O
G4	C(C1(C)CC(CC(O1)O)O)(O)=O
G4	C(C1(CC(CC(C)O1)O)O)(O)=O
G4	C1(C(O)OC(C)CC(C1O)O)=O
