Generation	Inchi	Smiles
G4	QWNGRTJWHMXSCO-UHFFFAOYSA-N	C(C(CO)=O)(CC(CO)CO)=O
G4	MCIHDPJAYNBIPI-UHFFFAOYSA-N	C(C(CN)=O)(CC(CO)CO)=O
G4	AWDXYMQWZFSNJC-UHFFFAOYSA-N	C(CC(CO)(CO)N)=O
G4	KXNJOXRKGZAOJT-UHFFFAOYSA-N	C(CC(CC(CO)(CO)N)=O)=O
G4	UDPGWMHIAQSXFB-UHFFFAOYSA-N	C=C(C(OC(CO)CO)=O)N
G4	YINXSVKHVOGRHW-UHFFFAOYSA-N	C=C(C(C(CO)(CO)O)=O)N
G4	BOVYZACYMKXMLI-UHFFFAOYSA-N	C(C(C=O)C(CN)(CN)O)=O
G4	ILINQMAOTITCFV-UHFFFAOYSA-N	C(C(CC(CN)(CN)O)=O)(O)=O
G4	IVFHGWWCMSWRPX-UHFFFAOYSA-N	C(CN)(CC(CN)(CN)O)=O
G4	YUQDMPMTKDHFNM-UHFFFAOYSA-N	C(CN)(CC(CO)(CO)O)=O
G4	BIKUMGCSYSKDLJ-UHFFFAOYSA-N	C(C(CC(CN)(CN)O)=O)=O
G4	TUZBBZXRKRCCHV-UHFFFAOYSA-N	C(CN)(C(CO)CO)=O
G4	FQRWTGKLDJSQOE-UHFFFAOYSA-N	C(CO)(CC(CN)(CN)O)=O
G4	MQBQQRVYZGYNRE-UHFFFAOYSA-N	C(CC(CN)(CN)O)=O
G4	KSJUAZMUTOCPNR-UHFFFAOYSA-N	C(CO)(C(C(CO)=O)N)=O
G4	OATHWGIETBGFOU-UHFFFAOYSA-N	C(CNCC(CN)=O)(CO)=O
G4	IITRTOMJXOMVFG-UHFFFAOYSA-N	C(C)(C(CO)(CO)N)=O
G4	KEQGASIBECPIHE-UHFFFAOYSA-N	C1(CNCC(C1(CO)O)=O)=O
G4	AIZJVUBKBFDLTJ-UHFFFAOYSA-N	C(C(CO)=O)(CNCCO)=O
G4	GHEJVLDIRJQPES-UHFFFAOYSA-N	C(CNCC(C(CO)=O)=O)(O)=O
G4	GGKOGYSMKJHQDL-UHFFFAOYSA-N	C(C(CNCCO)=O)(CN)=O
G4	SOMPMHUCNKPTQZ-UHFFFAOYSA-N	C(CNCC(C(CN)=O)=O)(O)=O
G4	AWXMXTRGJULXMP-UHFFFAOYSA-N	C(CNCC(C(O)=O)=O)(CN)=O
G4	ZWSSCZDLKOZODK-UHFFFAOYSA-N	C(CNCC(CN)=O)(CN)=O
G4	DMDJTESCCNJRBN-UHFFFAOYSA-N	C(CNCCO)(CCO)=O
G4	AXHFQJMYZPYYBE-UHFFFAOYSA-N	C(CNCC(O)=O)(CCO)=O
G4	TUCXGJDGDPNYTK-UHFFFAOYSA-N	C(C(CNCCO)=O)(O)=O
G4	BQVBUOKWQLRMRS-UHFFFAOYSA-N	C(CNCC(C(O)=O)=O)(O)=O
G4	ZYLQCUXZBJFNKZ-UHFFFAOYSA-N	C(CC(CNCCO)=O)(O)=O
G4	GDBZZSSJSMUALP-UHFFFAOYSA-N	C(CC(CNCC(O)=O)=O)(O)=O
G4	IXPGLJQOFOUUJH-UHFFFAOYSA-N	C(CNCCO)(CN)=O
G4	FFFDQOZJOWKGJX-UHFFFAOYSA-N	C(CNCC(CN)=O)(O)=O
G4	FCCAZMYLMGDKTM-UHFFFAOYSA-N	C=C(C(CNCCO)=O)N
G4	FTIGGUBBZYXJKP-UHFFFAOYSA-N	C(CNCC(C(N)=C)=O)(O)=O
G4	TXDZZZBQWUVXAO-UHFFFAOYSA-N	C(CN)(C(C(CN)=O)O)=O
G4	VNDMBSKSAXCXPW-UHFFFAOYSA-N	C(CN)(C(C(CN)=O)(CO)O)=O
G4	WMAWUYGJPNBUQG-UHFFFAOYSA-N	C(CO)(CNCCO)=O
G4	WKMZZYMHPNDCQD-UHFFFAOYSA-N	C(CNCC(CO)=O)(O)=O
G4	IQNLHOXYHAEYBN-UHFFFAOYSA-N	C(CO)(CNCC(C(O)=O)=O)=O
G4	KJJPLEZQSCZCKE-UHFFFAOYSA-N	C(C(CO)N)O
G4	DQIRQGLXHDHYBJ-UHFFFAOYSA-N	C(CO)(CNC(CO)CO)=O
G4	PGWDSCVIBPONCE-UHFFFAOYSA-N	C(CNC(CO)CO)=O
G4	HQTPVSKRJCEKMW-UHFFFAOYSA-N	C(CO)(CCNCCO)=O
G4	KJOAOJBEIQVCAW-UHFFFAOYSA-N	C(CNCCC(CO)=O)(O)=O
G4	SAJCPIWVRLJSDZ-UHFFFAOYSA-N	C(CO)(C(CO)(CO)N)=O
G4	YFWJYQZZYOHJPS-UHFFFAOYSA-N	C(C(CO)(CO)N)=O
G4	WIKKINRJQQIQGE-UHFFFAOYSA-N	C(C(CO)(CO)NCC=O)=O
G4	TTXYEPDJOMLEHC-UHFFFAOYSA-N	C(CN)(C(CO)(CO)N)=O
G4	IGPQEYLQNZFYLT-UHFFFAOYSA-N	C(C(C=O)(C(CN)(CN)O)O)=O
G4	KHRPVMZEHPIPQV-UHFFFAOYSA-N	C(CNC=O)(C(CO)(CO)O)=O
