Generation	Test Smiles	Library Smiles	Canonical Code
G4	C(CO)(CCNCCO)=O	C(=O)(CCNCCO)CO[H]	ada2dd1fa0e8266b
G4	C(CNCCC(CO)=O)(O)=O	C(=O)(CCNCC(=O)O[H])CO	54f76d7ec440a57a
G4	C(CO)NCCN	C(CNCCO)N([H])[H]	7050badde68abb3f
G4	C(CNCC(O)=O)(O)=O	C(=O)(CNCC(=O)O)O[H]	c7fa962b2691c7de
G4	C(C(CO)(CO)N)(O)=O	C(=O)(C(CO)(CO)N)O[H]	58f08a7bc05d903c
G4	C(C(CCNCCO)=O)(O)=O	C(=O)(C(=O)O[H])CCNCCO	280813ab515fd592
G4	C(CNCCC(C(O)=O)=O)(O)=O	C(=O)(C(=O)O[H])CCNCC(=O)O	d3928551f012a646
G4	C(CNCCN)(O)=O	C(=O)(CNCCN([H])[H])O	c52c39041aa6f448
G4	C(C(C(O)=O)(CO)N)(O)=O	C(=O)([C@@](C(=O)O)(CO)N)O[H]	c63e1199b4cec327
G4	C(C(C(O)=O)(CN)O)(O)=O	C(=O)([C@](C(=O)O)(CN)O)O[H]	8975939a27749d09
G4	C(CO)(C(CO)(CO)N)=O	C(=O)(CO)[C@@](CO[H])(CO)N	74ca4bbd265b9879
G4	C(C(CO)(CO)NCCO)=O	C(=O)[C@](CO[H])(CO)NCCO	4399cff52480ad7b
G4	C(C(CO)(CO)NCC(O)=O)=O	C(=O)[C@](CO[H])(CO)NCC(=O)O	d1e04702faf27a5a
G4	C(CN)(C(CO)(CO)N)=O	C(=O)(CN)C(CO)(CO)N([H])[H]	e78f7608cd60653b
G4	C(C(C(CN)=O)(CO)CO)=O	C(=O)[C@](C(=O)CN)(CO[H])CO	ab6170869b684e45
G4	C(C(C(O)=O)NCC(CN)=O)(O)=O	C(=O)(CN)CN[C@H](C(=O)O[H])C(=O)O	dc9fbedda7270d03
G4	C(C(C(O)=O)NCC=O)(O)=O	C(=O)CN[C@H](C(=O)O[H])C(=O)O	486bc525aebdd906
G4	C(C(CN)(CN)O)O	C([C@](CN)(CO)O)N([H])[H]	a11887337424b8e2
G4	C(CN)(CCNCCO)=O	C(=O)(CCNCCO)CN([H])[H]	2883a41ea373c1e7
G4	C(CN)(CCNCC(O)=O)=O	C(=O)(CCNCC(=O)O[H])CN	519a90cf5ff51281
G4	C(C(CN)=O)(C(CO)CO)=O	C(=O)(C(=O)[C@H](CO[H])CO)CN	869ad179455e5dc4
G4	C(CN)(C(C(CN)=O)CO)=O	C(=O)(CN([H])[H])[C@@H](C(=O)CN)CO	967a65c5e84a9bad
G4	C(CN)NC(CO)CO	C([C@H](CO)NCCN)O[H]	c839ac6ff9cbf784
G4	C(C(CO)(CO)NCCN)=O	C(=O)[C@](CO[H])(CO)NCCN	157974e3c58c8ccc
G4	C(C(O)=O)(CCNCCN)=O	C(=O)(C(=O)O[H])CCNCCN	26bf963543fd5e3e
G4	C(CNCCNCCN)=O	C(=O)CNCCNCCN([H])[H]	764bad653a402346
G4	C(CN)NCC(CO)(CO)O	C([C@](CNCCN)(CO)O)O[H]	73e56fb7b9abbdee
G4	C(CO)(CCNCCN)=O	C(=O)(CCNCCN([H])[H])CO	8e3af4e93478c663
G4	C(CN)NCCN	C(CNCCN)N([H])[H]	3302186d1b3680d5
G4	C(CCNC(CO)CO)=O	C(=O)CCN[C@@H](CO[H])CO	ff9846096ffa318f
G4	C(CN)(CCNCCN)=O	C(=O)(CCNCCN)CN([H])[H]	2afd37de0f6a67dd
G4	C(C(CO)=O)(CNCCO)=O	C(=O)(C(=O)CNCCO)CO[H]	45f83184d1a4afac
G4	C(CNCC(C(CO)=O)=O)(O)=O	C(=O)(C(=O)CO)CNCC(=O)O[H]	45a0e84c5321754a
G4	C(C(CO)(CCN)O)O	C(CN)[C@@](CO[H])(CO)O	1c6cde206fb85313
G4	C(CO)(CNC(CN)CN)=O	C(=O)(CN[C@@H](CN([H])[H])CN)CO	4e905f58aaa0b076
G4	C(CO)NC(CN)CN	C([C@H](CN)NCCO)N([H])[H]	701f07116c67409f
G4	C(CNC(CN)CN)(O)=O	C(=O)(CN[C@H](CN([H])[H])CN)O	933bc45f2b948d07
