Generation	Smiles	Inchi	Energy	Molecular Formula	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G3	C(C(CC(CO)=O)O)(O)=O	YVXXPGROVYTBAL	19.3297	C5H8O5	148.037175	-1.9374	-0.015	5	3	94.83	-2.2187
G3	C(C(C(CCO)=O)O)(O)=O	GEKHDLNOKHNDDY	26.227	C5H8O5	148.037175	-1.9374	-0.015	5	3	94.83	-1.8864
G3	C(CC(C(CO)O)=O)(O)=O	FNWZJGILAMUKQY	2.07949	C5H8O5	148.037175	-1.9374	-0.015	5	3	94.83	-4.2435
G3	C(C(CC(CO)O)=O)(O)=O	UQIGQRSJIKIPKZ	33.9659	C5H8O5	148.037175	-1.9374	-0.015	5	3	94.83	-13.301
G3	C(C1C(C(C(O)O1)O)O)O	HMFHBZSHGGEWLO	71.2058	C5H10O5	150.052825	-2.1107	0.122	5	4	90.15	-2.9788
G3	C1C(C(C(O)O1)(CO)O)O	BFZQQKBQRCDWST	79.9106	C5H10O5	150.052825	-2.1374	0.391	5	4	90.15	-1.7197
G3	C1C(C(C(C(O)O1)O)O)O	SRBFZHDQGSBBOR	466.702	C5H10O5	150.052825	-2.0188	0.122	5	4	90.15	-5.0602
G3	C1(C(C(C(CO)O1)O)O)=O	CUOKHACJLGPRHD	70.0931	C5H8O5	148.037175	-2.3264	-0.046	5	3	86.99	-6.6215
G3	C1(C(C(C(CO1)O)O)O)=O	XXBSUZSONOQQGK	74167.7	C5H8O5	148.037175	-2.2345	-0.046	5	3	86.99	-8.4355
G4	C1(C(C(C(C1O)O)O)O)=O	RPLBTYVHLJOBKZ	101.743	C5H8O5	148.037175	-2.4068	0.064	5	4	97.99	0.48676
G4	C(C1C(C(C(C1O)O)O)=O)=O	YWMHEJKIEFCJJV	39.5118	C6H8O5	160.037175	-2.4244	-0.203	5	3	94.83	-1.8551
G4	C1(C(C(CC(C1O)O)O)O)=O	DNWNZFQXCIWUSQ	92.7679	C6H10O5	162.052825	-2.0648	-0.206	5	4	97.99	0.69015
G4	C1(C(C(C(C)(C1O)O)O)O)=O	QCSROUGOTJEQJK	434.819	C6H10O5	162.052825	-2.1088	-0.045	5	4	97.99	2.6872
G4	C1(C(C(C(CO)(C1)O)O)O)=O	UHQNRQMTZAQCBL	84.0329	C6H10O5	162.052825	-2.1834	0.063	5	4	97.99	-1.6374
G4	C(C1C(C(C(C1O)=O)CO)O)=O	QIEUDWQTLABOOV	18.3899	C7H10O5	174.052825	-2.2297	-0.255	5	3	94.83	-2.1992
G4	C(C1C(C(C=O)C(C1O)O)O)=O	ZSMZKAQLWLFJMO	25.1513	C7H10O5	174.052825	-2.5857	-0.419	5	3	94.83	-3.1309
G4	C(C1C(CC(C(C1O)O)=O)O)=O	AUPYDEHKCNYTSW	30.2735	C7H10O5	174.052825	-2.0824	-0.473	5	3	94.83	-0.88167
G4	C(C1C(C(C(CC1O)O)O)=O)=O	YRTULFSSNUAODY	524.129	C7H10O5	174.052825	-2.0824	-0.473	5	3	94.83	-1.5595
G4	C1(C(CO)C(C=O)(CC1O)O)=O	LMGIZDHHGOFZPU	33.3152	C7H10O5	174.052825	-2.201	-0.204	5	3	94.83	-1.9915
G4	C1(C(C(C(C(C1)O)=O)CO)O)=O	SXWMINGTHUABIK	35.4567	C7H10O5	174.052825	-1.7264	-0.309	5	3	94.83	1.4724
G4	C(C1(C(CO)C(C(C1)=O)O)O)=O	TXXBHPYMVGOHPZ	38.3288	C7H10O5	174.052825	-2.201	-0.204	5	3	94.83	-2.2413
G4	C(C1C(C(CC1(C=O)O)O)O)=O	FIGJQDXEZHVUOS	37.0822	C7H10O5	174.052825	-2.557	-0.368	5	3	94.83	-3.0256
G4	C(C1C(C(CC(C1O)=O)O)O)=O	GMRKEEHCNPHRFK	25.1343	C7H10O5	174.052825	-2.0824	-0.473	5	3	94.83	-1.0707
G4	C(C(C1C(C(CC1O)O)O)=O)=O	LXEPBSPLUZYIKY	47.7244	C7H10O5	174.052825	-2.3146	-0.473	5	3	94.83	-1.853
G4	C1(C(C(C(C1)O)C(C=O)O)O)=O	IRXAXBQTRSAYJV	35.726	C7H10O5	174.052825	-2.1397	-0.473	5	3	94.83	-0.8959
G4	C(C1(CC(CC(C1O)=O)O)O)=O	ARTFWEBDMQPPEL	54.8516	C7H10O5	174.052825	-2.0537	-0.422	5	3	94.83	-1.4176
G4	C(CO)(C1C(CC(C1O)=O)O)=O	FZRWVEDGHRHXTC	35.4862	C7H10O5	174.052825	-1.9586	-0.309	5	3	94.83	1.9471
G4	C1(C(C(C(CC(C1)O)=O)O)O)=O	DNSVTLFKOGIDGH	695.089	C7H10O5	174.052825	-1.5791	-0.527	5	3	94.83	1.6226
G4	C(C1C(CO)(CC(C1O)=O)O)=O	XVHPLUHOTOURLI	27.9183	C7H10O5	174.052825	-2.201	-0.204	5	3	94.83	-4.1835
G4	C(C1C(C(C(C1(C)O)O)O)=O)=O	WPAPXOCDBQCIPU	387.401	C7H10O5	174.052825	-2.1264	-0.312	5	3	94.83	0.44364
