Generation	Smiles	Inchi
G4	C(C(C(C=O)O)O)(O)=O	JYPFTOPPKDHQEW
G4	C(C(C(C(CO)O)=O)C(C)O)=O	SWPTYYGQWIDUPR
G4	C(C(C(C(CC(C)O)O)=O)O)=O	DJLPCUJNBDDOFL
G4	C(CC(C(CO)C(C)O)O)(O)=O	GMMBVCPJEUEKSH
G4	C(C(CO)C(CC(C)O)O)(O)=O	LNDJCZGRHQMXIW
G4	C(CO)(C(C(CO)C(C)O)O)=O	NMRSASSMZGKUGF
G4	C(C(CO)(C(CO)C(C)O)O)=O	XLLXHLIMPQJKBO
G4	CC(C(CO)CO)O	BTAREPMBYAAWOX
G4	C(C(CO)CO)(O)=O	ULMZOZMSDIOZAF
G4	C(C(C)(C(CO)CO)O)(O)=O	WJVPGTCUOBMTRW
G4	CC(CC(CCO)O)O	WJSATVJYSKVUGV
G4	CC(C(CO)C(C)O)O	WPTUDAOQIXOMIQ
G4	C(CC(CCO)O)(O)=O	RGPXHQLKXPEHMD
G4	C(C(CO)C(C)O)(O)=O	YPKVFKMXWGCTPK
G4	C(C(CCO)(CC(C)O)O)(O)=O	JTQNOOVRZZRGID
G4	C(C(C)(CC(CCO)O)O)(O)=O	YIMWTZCLJKJEEP
G4	C(C(C)(C(CO)C(C)O)O)(O)=O	JSRWEGQRSOFJIO
G4	C(CO)(C(CCO)O)=O	XAEITTHXTQNINA
G4	C(C(CO)(CCO)O)=O	LJHDDMZHCMRVDG
G4	C(C(C(O)=O)CO)(O)=O	PPVBGPLECSKJDX
G4	C(C(CO)(C)O)(O)=O	DGADNPLBVRLJGD
G4	C(CC(CC(C)O)O)(O)=O	RUSJDZRTPDUURW
G4	C(C(C(C)O)C(C)O)(O)=O	CPTAYIFCHWCYCO
G4	C(CC(CC(O)=O)O)(O)=O	ZQHYXNSQOIDNTL
G4	C(C(C(O)=O)C(C)O)(O)=O	HCCRSYOHVGUMEQ
G4	C(CC(C(CO)=O)O)(O)=O	OOILVYWNILFUFQ
G4	C(C(CO)(CC(O)=O)O)=O	LBCOIJVZFVTWRF
G4	C(C(C(O)=O)(C)O)(O)=O	LNRVTEQEGXVMEF
G4	C(C(CO)(C(C)O)C(C=O)O)=O	JLGJBQWVCGMGCK
G4	C(C(C=O)(C(CCO)O)O)=O	JJMHBWKTAFYLCS
G4	C(C(CO)C(CCO)O)(O)=O	BNSJTYSOIMPUHL
G4	C(C(C(C)O)C(CCO)O)(O)=O	CNIVEBQALVPIIV
G4	C(C(CO)C(C=O)O)(O)=O	KYFNWLBWNQPYTA
G4	C(C(C(C)O)C(C=O)O)(O)=O	AXHUKHDFYVXKAV
G4	C(C(CO)C(C=CC)O)(O)=O	XSRYKUVOMKJBOW
G4	C(C(CO)C(CC=C)O)(O)=O	QSNKZGIUZYBQKP
G4	C(C(C(O)=O)C(C=CC)O)(O)=O	JDOSZXDQVDXIIY
G4	C(C(C(O)=O)C(CC=C)O)(O)=O	GFUKAKMRSFZEGL
G4	C(C(C=O)(C(C=CC)O)O)(O)=O	ZSHUDCSWYLBEJE
G4	C(C(C=O)(C(CC=C)O)O)(O)=O	HIICIUGOLYFMTA
