Generation	Smiles	Inchi	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G5	C1(C(C(C)O)(C(CCO1)O)O)=O	FMDGAWCADWGAMV	176.068473484	C7H12O5	7	12	5	-1.6518	-0.425	5	3	86.99	0.8826
G5	C1(C(CO)(C(CCO1)O)O)=O	IQEITGPWVZNVIN	162.05282342	C6H10O5	6	10	5	-2.0111	-0.047	5	3	86.99	1.3673
G5	C1(C(C(C(CO)C(C)O1)O)O)=O	QYAPPFUFERNXPK	176.068473484	C7H12O5	7	12	5	-1.7151	-0.476	5	3	86.99	-5.6047
G5	C1(C(C(C(CO1)C(C)O)O)O)=O	CJNVSDKVCCZBSN	176.068473484	C7H12O5	7	12	5	-1.6805	-0.476	5	3	86.99	-5.039
G5	C1(CC(C(CO1)(C(C)O)O)O)=O	SRCUCKTUAYIMPV	176.068473484	C7H12O5	7	12	5	-1.6518	-0.425	5	3	86.99	-0.072805
G5	C1(C(C)(CC(C(CO)O1)O)O)=O	JZNANTPJHBWVNO	176.068473484	C7H12O5	7	12	5	-1.6864	-0.425	5	3	86.99	2.3639
G5	C1(C(C)(CC(C(CO1)O)O)O)=O	KUUPFXXIEAUOMP	176.068473484	C7H12O5	7	12	5	-1.5945	-0.425	5	3	86.99	-0.43792
G5	C(C(CO)C(CCC(O)=O)O)=O	FMYSNQMOKDFWNC	176.068473484	C7H12O5	7	12	5	-1.3507	-0.501	5	3	94.83	-3.5545
G5	C(C(CCC(O)=O)(CO)CO)=O	XWVUAWWFPBRBER	176.068473484	C7H12O5	7	12	5	-1.1442	-0.3	5	3	94.83	-9.9259
G5	C(CCC(C(C(CO)=O)O)O)=O	REGMTSUPOAFLBQ	176.068473484	C7H12O5	7	12	5	-1.9131	-0.389	5	3	94.83	-2.9926
G5	C(CCC(C(CO)=O)(CO)O)=O	ALMSKWAKAQHEAF	176.068473484	C7H12O5	7	12	5	-1.8918	-0.12	5	3	94.83	-4.0203
G5	C(CCC(C(C(CO)O)=O)O)=O	ZWESBUAKAWLWFK	176.068473484	C7H12O5	7	12	5	-1.9131	-0.389	5	3	94.83	-2.2335
G5	C(CC(C)C(C(C=O)O)O)(O)=O	YIVYZEJBRIQCGU	176.068473484	C7H12O5	7	12	5	-1.4458	-0.609	5	3	94.83	-4.409
G5	C(C(CO)(C(C)CC(O)=O)O)=O	CLKPVHUBBBIOLR	176.068473484	C7H12O5	7	12	5	-1.4245	-0.34	5	3	94.83	-3.7953
G5	C(CCC(C(C=O)O)O)(O)=O	DPNBFMYNFYUJJN	162.05282342	C6H10O5	6	10	5	-1.6641	-0.449	5	3	94.83	-5.0533
G5	C(C(CO)(CCC(O)=O)O)=O	NPMAYSVTZHSKDG	162.05282342	C6H10O5	6	10	5	-1.6428	-0.18	5	3	94.83	-8.0076
G5	C(C(CC(C=O)O)CCO)(O)=O	FRUPIXPMNXJUHO	176.068473484	C7H12O5	7	12	5	-1.3507	-0.501	5	3	94.83	-6.2733
G5	C(C(C)C(CO)C(C=O)O)(O)=O	IAJDPMDEFSMHKU	176.068473484	C7H12O5	7	12	5	-1.5868	-0.391	5	3	94.83	-1.5729
G5	C(C(CCC=O)(CO)CO)(O)=O	LGFKFBDBGSJXMV	176.068473484	C7H12O5	7	12	5	-1.1442	-0.3	5	3	94.83	-9.2197
G5	C(C(CO)C(CCC=O)O)(O)=O	DTPPITUZVNMWRB	176.068473484	C7H12O5	7	12	5	-1.3507	-0.501	5	3	94.83	-2.7539
G5	C(CC(C)C(CO)CO)(O)=O	OUZXDDLUGBDXGG	162.089208928	C7H14O4	7	14	4	-0.3527	-0.575	4	3	77.76	-4.7068
G5	C(CC(C)C(CCO)O)(O)=O	ZHOWVZFTKXXQBV	162.089208928	C7H14O4	7	14	4	-0.2117	-0.793	4	3	77.76	-3.6631
G5	C(C(C=O)CC(CO)CO)(O)=O	OFNSPJTWUVITJL	176.068473484	C7H12O5	7	12	5	-1.4917	-0.283	5	3	94.83	-9.5417
G5	C(C(C=O)CC(CCO)O)(O)=O	BSAKTMXLDSOVBV	176.068473484	C7H12O5	7	12	5	-1.3507	-0.501	5	3	94.83	-6.102
G5	C(C(CCC(CO)CO)=O)(O)=O	FFCTUOYWPRESGD	176.068473484	C7H12O5	7	12	5	-1.1696	-0.337	5	3	94.83	-15.551
G5	C(C(CCC(CCO)O)=O)(O)=O	NEQCDTWWCXYBTM	176.068473484	C7H12O5	7	12	5	-1.0286	-0.555	5	3	94.83	-12.056
G5	C(CCC(CO)CO)(O)=O	UUYAPFVLNLJSQW	148.073558864	C6H12O4	6	12	4	-0.571	-0.415	4	3	77.76	-6.646
G5	C(CCC(CCO)O)(O)=O	DTIHQXJECSLYDN	148.073558864	C6H12O4	6	12	4	-0.43	-0.633	4	3	77.76	-3.3816
G5	C(C(CO)(CCCC=O)O)(O)=O	OSHOYXSCOOKJRX	176.068473484	C7H12O5	7	12	5	-1.1884	-0.45	5	3	94.83	-7.9775
G5	C(CC(C)C(CO)(CO)O)(O)=O	CXCGRBWMEBRDJO	178.084123548	C7H14O5	7	14	5	-1.2122	-0.125	5	4	97.99	-3.0196
G5	C(CC(C)C(C(CO)O)O)(O)=O	FMFFODRMQDWBPK	178.084123548	C7H14O5	7	14	5	-1.2335	-0.394	5	4	97.99	-2.2328
G5	C(C(C=C)(CCC(O)=O)O)(O)=O	POCJCRBYUUMJEQ	174.05282342	C7H10O5	7	10	5	-0.5845	-0.663	5	3	94.83	-5.4894
G5	C(CCC(CO)(CO)O)=O	NZPKNGWOGVFIEO	148.073558864	C6H12O4	6	12	4	-1.2932	-0.198	4	3	77.76	-8.0606
G5	C(CCC(C(CO)O)O)=O	GKEKEJAKZNNZPN	148.073558864	C6H12O4	6	12	4	-1.3145	-0.467	4	3	77.76	-4.9315
G5	C(CCC(C=C)(CO)O)(O)=O	DJZCCBDRWAPMMC	160.073558864	C7H12O4	7	12	4	-0.2349	-0.681	4	3	77.76	-9.0789
G5	C(CCC(C(C=C)O)O)(O)=O	CMCDYQZMVXTOAQ	160.073558864	C7H12O4	7	12	4	-0.2562	-0.95	4	3	77.76	-7.176
G5	C(CCC(CO)(CO)O)(O)=O	MTDIYFCNFDSESA	164.068473484	C6H12O5	6	12	5	-1.4305	0.035	5	4	97.99	-6.1766
G5	C(CCC(C(CO)O)O)(O)=O	WIPFUNOPERMBGL	164.068473484	C6H12O5	6	12	5	-1.4518	-0.234	5	4	97.99	-2.8437
G5	C(CCC(C(C(O)=O)O)O)=O	ICWLRKVKMNMFRW	162.05282342	C6H10O5	6	10	5	-1.6641	-0.449	5	3	94.83	-3.1228
G5	C(C(CO)(CCC=O)O)(O)=O	IPAAXHJSEGYJRS	162.05282342	C6H10O5	6	10	5	-1.6428	-0.18	5	3	94.83	-6.0251
G5	C(CCC(C(O)=O)O)(O)=O	HWXBTNAVRSUOJR	148.037173356	C5H8O5	5	8	5	-1.234	-0.345	5	3	94.83	-3.2627
G5	C(C(CO)=O)(CCC(CO)O)=O	QRGPBHWZSUTIQO	176.068473484	C7H12O5	7	12	5	-1.732	-0.225	5	3	94.83	-9.506
G5	C(C(C=O)CC(CO)O)(O)=O	QXSQLOIDPBOXIB	162.05282342	C6H10O5	6	10	5	-1.8051	-0.231	5	3	94.83	-8.8655
G5	C(C(CC(CO)O)C(C)O)=O	PZYNVIDGHSXYPX	162.089208928	C7H14O4	7	14	4	-1.0962	-0.627	4	3	77.76	-9.0434
G5	C(CC(C(CO)O)CC=O)(O)=O	KRKUWOOSLKJBMU	176.068473484	C7H12O5	7	12	5	-1.3507	-0.501	5	3	94.83	-2.2172
G5	C(C(C(CO)O)CC(CO)=O)=O	REFUKKAWRAUONF	176.068473484	C7H12O5	7	12	5	-2.0541	-0.171	5	3	94.83	-5.6732
G5	C(CO)(C(C(CO)O)CC=O)=O	RTDIDHRVJCEOSL	176.068473484	C7H12O5	7	12	5	-2.0541	-0.171	5	3	94.83	-1.1771
