Generation	Smiles	Inchi	Energy Change	Reaction IDs
G3	C(CC(C(C(CO)=O)N)O)=O	OEVVJWOUJIUREO	[]	[]
G3	C(C(C=O)C(CO)(CN)O)=O	ZFLFRQNBEVKBDV	[]	[]
G3	C(C(C)(C(C(CN)=O)O)O)=O	FHYSZSPWXQFGGH	[-136.69]	[['291_0', '47_0', '88_0', '5_0', '5_0']]
G3	C(C(C)(C(C(CO)=O)N)O)=O	MSKONFCVYLNJPN	[]	[]
G3	C(C)(C(C(C(CN)=O)O)O)=O	SQOIZOFSPPKOGH	[-141.33]	[['295_0', '47_0', '88_0', '5_0', '5_0']]
G3	C(CO)(C(C(C(C)=O)O)N)=O	QZRMXSVZXCRGAO	[]	[]
G3	C(C(CC(CO)(CN)O)=O)=O	OMPVMQXVAIVXEY	[]	[]
G3	C(CN)(C(C(C)O)O)=O	PPFTYFJBDQDNLS	[-134.67]	[['343_0', '47_0', '98_0', '5_0', '15_0']]
G3	C(CO)(C(C(C)O)N)=O	CXFDMCGOFSDJFK	[-127.94999999999999]	[['345_0', '47_0', '98_0', '5_0', '15_0']]
G3	C(CC(CO)(CN)O)=O	BCDIGRSIKYETOL	[-125.63999999999999]	[['347_0', '47_0', '98_0', '5_0', '15_0']]
G3	C(CN)(C(C(C(CN)O)O)O)=O	QHZCJOJZOOJVFU	[-114.27000000000001]	[['349_0', '47_0', '104_0', '5_0', '5_0']]
G3	C(CO)(C(C(C(CN)O)O)N)=O	FMTIPXRUFBJTGW	[]	[]
G3	C(C(CO)O)(C(C(C)O)N)=O	VHAPTBUJKSFOAY	[]	[]
G3	C(CC(CN)(C(CO)O)O)=O	LBTUWKWHCNBHBP	[-109.41]	[['365_0', '49_0', '98_0', '7_0', '15_0']]
G3	C(CC(C(CO)(CO)O)O)=O	HQMRFNOKWQUHQC	[-136.89]	[['389_0', '71_0', '98_0', '5_0', '15_0']]
G3	C(C(C=O)C(C(CN)O)O)=O	VPCLNTDBLHAJNA	[]	[]
G3	C(C(CC(C(CN)O)O)=O)=O	KEZKOUJRKCLMLA	[-134.94]	[['481_0', '88_0', '104_0', '5_0', '5_0']]
G3	C(CC(C(CN)O)O)=O	GRAYIZYZTZDMHO	[-128.28]	[['529_0', '98_0', '104_0', '15_0', '5_0']]
G3	C(CC(C(C(CO)N)O)O)=O	MYNDUSHUEWHKOA	[-105.32]	[['531_0', '98_0', '106_0', '15_0', '7_0']]
G3	C(CN)(C(C(C(CO)O)O)O)=O	XBBIACPUMILHFE	[-95.93]	[['535_0', '5_0', '47_0', '5_0']]
G3	C(CO)(C(C(C(CO)O)O)N)=O	WENKHRNUXJHGLX	[]	[]
G3	C(C(C=O)C(C(CO)O)O)=O	AKTMIDGTSNJTSP	[-107.87]	[['1793_0', '65_0', '5_0', '5_0']]
G3	C(C(CC(C(CO)O)O)=O)=O	ZGCHLOWZNKRZSN	[-116.6]	[['543_0', '5_0', '88_0', '5_0']]
G3	C(CC(C(CO)O)O)=O	ASJSAQIRZKANQN	[-109.94]	[['555_0', '5_0', '98_0', '15_0']]
G3	C(CC(C(C(CO)O)O)O)=O	VRYALKFFQXWPIH	[-93.71]	[['561_0', '7_0', '98_0', '15_0']]
G3	C(C(C(C(C(CN)O)N)O)N)=O	MRRZYOMOIUDFAO	[]	[]
G3	C(C(C(C(CO)N)O)N)=O	WQGGDNMZQLYAIJ	[]	[]
G3	C(C(C(C(C(CN)O)O)O)N)=O	GXAVXHQQZLYQMO	[]	[]
G3	C(C(C(C(C(CO)O)N)O)N)=O	BCHSITVTOAFIPR	[]	[]
