Generation	Smiles	Inchi	Energy Change	Reaction IDs
G3	C(CO)(C(CO)C(C)O)=O	UCBNXCDBZHMDGF	[-338.49999999999994, -338.49999999999994, -338.49999999999994]	[['802_0', '1441_0', '1225_0', '157_0', '186_0', '39_0', '11_0', '71_0', '71_0', '23_0', '23_0'], ['802_0', '1447_0', '1225_0', '156_0', '186_0', '39_0', '11_0', '71_0', '71_0', '23_0', '23_0'], ['802_0', '2124_0', '1225_0', '111_0', '186_0', '39_0', '11_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(CC(CO)(CCO)O)=O	JCOSEBVXWDUOFU	[-336.18999999999994, -336.18999999999994, -336.18999999999994]	[['804_0', '1441_0', '1225_0', '157_0', '186_0', '39_0', '11_0', '71_0', '71_0', '23_0', '23_0'], ['804_0', '1447_0', '1225_0', '156_0', '186_0', '39_0', '11_0', '71_0', '71_0', '23_0', '23_0'], ['804_0', '2124_0', '1225_0', '111_0', '186_0', '39_0', '11_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(C(C(C=O)O)O)(CC(C)O)=O	HDSWTILTIGAHJT	[-277.44, -277.44]	[['806_0', '1013_0', '1225_0', '71_0', '1223_0', '186_0', '23_0', '186_0', '11_0', '11_0'], ['806_0', '1013_1', '1225_0', '71_0', '1223_0', '186_0', '23_0', '186_0', '11_0', '11_0']]
G3	C(CC(C(C(C(C)=O)O)O)O)=O	BPNLIVPLQNLIGW	[-340.3599999999999, -340.3599999999999, -277.44, -277.44]	[['822_0', '70_0', '159_0', '21_0', '39_0', '71_0', '71_0', '23_0', '23_0'], ['822_1', '70_0', '159_0', '21_0', '39_0', '71_0', '71_0', '23_0', '23_0'], ['808_0', '1013_0', '1225_0', '71_0', '1223_0', '186_0', '23_0', '186_0', '11_0', '11_0'], ['808_0', '1013_1', '1225_0', '71_0', '1223_0', '186_0', '23_0', '186_0', '11_0', '11_0']]
G3	C(CC(C)(C(C(C=O)O)O)O)=O	ZHKXGIAQAXTAMP	[-272.8, -272.8]	[['810_0', '1013_0', '1225_0', '71_0', '1223_0', '186_0', '23_0', '186_0', '11_0', '11_0'], ['810_0', '1013_1', '1225_0', '71_0', '1223_0', '186_0', '23_0', '186_0', '11_0', '11_0']]
G3	C(CO)(CC(CO)(C)O)=O	GRCKFGQFRRODIE	[-194.60999999999999]	[['818_0', '70_0', '70_0', '21_0', '21_0']]
G3	C(C)(C(C(CO)(C)O)O)=O	CBUKMSAKZIPOGL	[-199.0]	[['820_0', '70_0', '70_0', '21_0', '21_0']]
G3	C(C(CC(CC(CO)=O)O)O)=O	YXINUGWAIZLHJK	[-335.9699999999999]	[['824_0', '70_0', '159_0', '21_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(C(CC(C(C(C)=O)O)O)O)=O	QXPRRNBQNVREIJ	[-340.3599999999999]	[['826_0', '70_0', '159_0', '21_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(C(C(CO)(C)O)C(C=O)O)=O	UFDQVKKZIJVGJA	[]	[]
