Smiles	tag
C(=N\[C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O)/OC	omega_93661
C(=N\[C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O)/OC	omega_93661
C(=O)N([C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O)C	omega_92183
C(=O)N([C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O)C	omega_92183
C(=N\C[C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O)/O	omega_19753
C(=N\C[C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O)/O	omega_19753
C(=N\[C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)N)/OC	omega_67713
C(=N\[C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)N)/OC	omega_67713
C(=N\[C@@]1([C@H]([C@H]([C@@H](O1)O[H])O)N)C)/O	omega_63409
