SMILES tag	Canonical Code
C(=O)[C@@](C(=O)O)([C@@H](CCC)O)O[H]	1003a22142cfd39b
C(=O)[C@@](C(=O)O)([C@@H](CCC)O[H])O	1003a22142cfd39b
C(=O)[C@@](C(=O)O[H])([C@@H](CCC)O)O	1003a22142cfd39b
C1[C@@H]2[C@H]([C@@]([C@H](CO)O2)(O1)N([H])[H])CO	1003bf0ddeebcc31
C(=O)([C@H]([C@H]([C@H](C)[C@@H](C)O)O)N([H])[H])O	1003e60eb6f39e2b
C1[C@H]2[C@H]([C@H]([C@@H](CO2)O)O[C@H]1N([H])[H])O	1004121fc0f54bdc
C(=C\O[C@@H]1[C@H](C[C@@H](CO)O1)O)\O[H]	10041c05817ebf9e
C=C(C(=O)O)C(CO)(CO)O[H]	10041e9568ec53da
C=C(C(=O)O)[C@@](CO[H])(CO)O	10041e9568ec53da
C=C(C(=O)O)[C@](CO[H])(CO)O	10041e9568ec53da
C=C(C(=O)O[H])C(CO)(CO)O	10041e9568ec53da
C1=C([C@]([C@H](C)O)(OC1)O[H])CO	1004339b7feb2d2c
C(=C(\C(=O)O)/N([H])[H])(/C(=O)CO)\C	10043dfffaa7f549
C1[C@H]([C@H]([C@H]([C@H]([C@H]1O)O)N([H])[H])O)C	1004449fface125
C1=C[C@@]2([C@@H]([C@@H]([C@H]1O2)CO)O)O[H]	100448f270d500c0
C(=O)[C@@H]1[C@]([C@H]([C@@H](O1)O)C)(CN([H])[H])O	100452e96e89ecc2
C1=C(C[C@H]([C@]1(CO)O)O)N([H])[H]	10045722e020ad9c
C1[C@@]2([C@H]([C@@H]([C@H]([C@H](C)O)O2)O1)O)O[H]	10048517d7583e
C1CO[C@H]([C@H]1O)[C@@H](COCN([H])[H])O	1004923b55f5c3ee
C1(=O)C[C@@H]([C@H]([C@@H](C)O)O[C@@H]1O)O[H]	1004b91285f4003b
C1(=O)C[C@@H]([C@H]([C@@H](C)O)O[C@@H]1O[H])O	1004b91285f4003b
C1(=O)C[C@@H]([C@H]([C@@H](C)O[H])O[C@@H]1O)O	1004b91285f4003b
C(=O)[C@@H]1C[C@@H]2[C@H]([C@]1([C@H](O2)O)O)N([H])[H]	1004bc2f3266c112
C(CN([H])[H])[C@H](CCO)CO	1004f0e3b79aa14e
C1[C@@]2([C@H]([C@@H]([C@@]([C@@H]2O)(O1)O[H])C)O)O	1004fc4ddae7cb1b
C1[C@@H]([C@H]([C@H](COC[C@H]1O)O)O)N([H])[H]	10050896850e6210
C=C([C@H]([C@@H]([C@H](C)O)N([H])[H])O)OC	10050c0932148a3f
C1[C@@H]([C@@H](CO[C@@H]1O)[C@H](CO)O)N([H])[H]	1005108b9321ee9a
C=C[C@](C(=O)[C@@H](C)O)(C(=O)N([H])[H])O	100524943149681c
