Generation	Smiles
G3	C(C(C(CO)C(C(CO)O)O)=O)=O
G3	C(C(C(C(CO)O)O)C(C=O)O)=O
G3	C(C(C(CO)=O)C(C(CO)O)O)=O
G3	C(CC(C(C(C(CO)O)O)O)=O)=O
G3	C(C(C(CC(C(CO)O)O)=O)O)=O
G3	C(CC(C(CO)O)O)=O
G3	C(C(C=O)C(C(C(CO)O)O)O)=O
G3	C(C(CC(C(C(CO)O)O)O)=O)=O
G3	C(CC(C(C(CO)O)O)O)=O
G3	C(C(CO)O)(C(CO)O)=O
G3	C(C(C=O)CO)=O
G3	C(C(C(CO)CO)=O)=O
G3	C(C(CO)C(C=O)O)=O
G3	C(C(C(CO)=O)CO)=O
G3	C(CC(C(CO)O)=O)=O
G3	C(C(C(CCO)=O)O)=O
G3	C(CCO)=O
G3	C(C(C(C=O)O)O)=O
G3	C(C(C(CO)(CO)O)O)=O
G3	C(CO)(C(C(CO)O)O)=O
G3	C(C(C(CO)(C(CO)O)O)O)=O
G3	C(C(C(CO)O)O)(C(CO)O)=O
G3	C(C(C(C(CO)(CO)O)O)O)=O
G3	C(CC(C(C=O)O)O)=O
G3	C(C(C=O)C(CO)O)=O
G3	C(C(C)(C(C=O)O)O)=O
G3	C(C(C(C(C)=O)O)O)=O
G3	C(C(CC(CO)O)=O)=O
G3	C(C(CCO)(C(C=O)O)O)=O
G3	C(C(C(C=O)O)O)(CCO)=O
G3	C(C(C(CO)C(CO)O)=O)=O
G3	C(CC(C(C(C=O)O)O)O)=O
G3	C(C(C(CC(C=O)O)O)O)=O
G3	C(C(C(CO)O)C(C=O)O)=O
G3	C(C(C(CC(CO)=O)O)O)=O
G3	C(CC(CO)(C(C=O)O)O)=O
G3	C(C(C(CO)=O)C(CO)O)=O
G3	C(CC(C(C(CO)O)O)=O)=O
G3	C(C(C(C(C(C)=O)O)O)O)=O
G3	C(C(C(C)(C(C=O)O)O)O)=O
G3	C(C(C(CC(CO)O)=O)O)=O
G3	C(C(C(C)O)O)=O
G3	C(CC(CO)O)=O
G3	C(C(C)O)(O)=O
G3	C(C(CCO)O)(O)=O
G3	C(C(CO)=O)=O
G3	C(C(C(CO)O)=O)=O
G3	C(C(C(C(CO)O)O)=O)=O
G3	C(C(C(C(C(CO)O)O)O)=O)=O
G3	C(C(CO)=O)(C)=O
G3	C(C(C(C)O)=O)=O
G3	C(C(C(C(CO)O)O)O)O
G3	C(C(C(C(C(CO)O)O)O)O)O
G3	C(C(CO)(C(C(CO)O)O)O)O
G3	C(C(CO)(CO)O)O
G3	C(C(CO)(C(CO)O)O)O
G3	C(C(C(CO)O)(C(CO)O)O)O
G3	C(C)(CO)=O
G3	C(CO)(CCO)=O
G3	C(C(CCO)O)=O
G3	C(C)(C(CO)O)=O
G3	CCO
G3	C(C(O)=O)=O
G3	C(C(CO)(C(C(CO)O)O)O)(O)=O
G3	C(C(CO)(CO)O)(O)=O
G3	C(C(CO)(C(CO)O)O)(O)=O
G3	C(C(C(CO)O)(C(CO)O)O)(O)=O
G3	C(CC(O)=O)=O
G3	C(C(C)=O)(O)=O
G3	C(C(CCO)=O)(O)=O
G3	C(C(CC=O)O)(O)=O
G3	C(CC(C=O)O)(O)=O
G3	C(CC(CO)=O)(O)=O
G3	C(C(C(C)=O)O)(O)=O
G3	C(C)(O)=O
G3	C(C(C(C)O)(C(C(CO)O)O)O)=O
G3	C(CO)(C(CO)(C(C=O)O)O)=O
G3	C(C(CO)(C(C=O)O)O)(O)=O
G3	C(C(C(CO)O)(C(C=O)O)O)(O)=O
G3	C(C(C(C)=O)(C(C=O)O)O)=O
G3	C(C(CO)(C(CO)(CO)O)O)(O)=O
