Generation	Test Smiles	Library Smiles	Canonical Code
G6	C(CCO)(C(CO)CO)=O	C(=O)(CCO)[C@@H](CO[H])CO	828cd799e33faa18
G6	C(CO)(C(CO)CO)=O	C(=O)(CO)[C@@H](CO[H])CO	7d62f4ffe1f3e368
G6	C=C(C(O)=O)C(C(CO)CO)=O	C=C(C(=O)C(CO)CO)C(=O)O[H]	84ef6c4cf96cb8b8
G6	C(C(CO)CO)(CC(CO)=O)=O	C(=O)(CC(=O)C(CO)CO)CO[H]	dfd236765769b25d
G6	C(CO)(C(C(CO)=O)CO)=O	C(=O)(CO)C(C(=O)CO)CO[H]	841a2a4f3346ba8a
G6	C(C(C)=O)(CC(CO)(CO)O)=O	C(=O)(C(=O)CC(CO)(CO)O[H])C	a8feee1d3cd60998
G6	C(C(C=O)C(CO)(CO)O)=O	C(=O)C(C=O)C(CO)(CO)O[H]	faa39363540be971
G6	C(C)(CC(CO)(CO)O)=O	C(=O)(C)CC(CO)(CO)O[H]	4e612420ef16c069
G6	C=CC(CC(CO)(CO)O)=O	C=CC(=O)CC(CO)(CO)O[H]	65ee669b37ff99b9
G6	C(CC(CC(CO)(CO)O)=O)=O	C(=O)CC(=O)CC(CO)(CO)O[H]	2f4db9ae9f2d3f6
G6	C(CO)(CC(CC(CO)=O)O)=O	C(=O)(CC(CC(=O)CO)O[H])CO	d960d85d8a2b9811
G6	C(C(C(O)=O)(CC)O)(O)=O	C(=O)(C(C(=O)O)(CC)O[H])O	f5f66f5f3c706870
G6	C(C(C(O)=O)(CCC=C)O)(O)=O	C=CCCC(C(=O)O)(C(=O)O)O[H]	7d2f6e31b47b15c3
G6	C(C(C)=O)(C(CO)(CO)CO)=O	C(=O)(C(=O)C(CO[H])(CO)CO)C	7184ce7ff1ca988e
G6	C=CC(C(C(CO)(CO)O)=O)=O	C=CC(=O)C(=O)C(CO)(CO)O[H]	59115b2f5c5a2218
G6	C(C)(C(CO)(CO)O)=O	C(=O)(C)C(CO)(CO)O[H]	a277d2fab2bcab9e
G6	C(CO)(C(C(CO)=O)(C=C)O)=O	C=CC(C(=O)CO)(C(=O)CO)O[H]	b8dafeb016966529
G6	C(CO)(C(C(CO)=O)(C)O)=O	C(=O)(CO)C(C(=O)CO)(C)O[H]	1bf8d64b1069ac72
G6	C(C(C(CO)=O)(CO)CO)=O	C(=O)C(C(=O)CO[H])(CO)CO	94da854518848188
G6	C(C)(C(CCO)(CCO)O)=O	C(=O)(C)C(CCO)(CCO)O[H]	39d1237f473966ee
G6	CC(CCO)(CCO)O	CC(CCO)(CCO)O[H]	9e57ec22e34f6a3
G6	C(C(CO)CCO)O	C(CO)[C@@H](CO[H])CO	ed290a69de078e95
G6	C(C(CO)C(C(CO)CO)O)O	C(C(CO)C(C(CO)CO)O[H])O	1be02a36e19961f4
G6	C(C(C=O)(C(CO)CO)O)=O	C(=O)C(C=O)(C(CO)CO)O[H]	4d873c0bf87110c0
G6	C(C(CC(CO)CO)=O)(O)=O	C(=O)(C(=O)O)C[C@@H](CO[H])CO	4f6c58efcecb65f7
G6	C(CO)=C(CO)CO	C(=C(CO)CO)CO[H]	14477735c2c06dd6
G6	C(CO)(CO)=CC(O)=O	C(=C(CO)CO)C(=O)O[H]	e958d122ef25e8c5
G6	C(C(C(O)=O)(C=C)CO)(O)=O	C=CC(C(=O)O)(C(=O)O)CO[H]	ae9cb79d2a3903e6
G6	C(C(C=C)(CO)CO)(O)=O	C=CC(C(=O)O[H])(CO)CO	8e69cf15d2e5028e
G6	C(C(CO)(CO)CO)O	C(C(CO)(CO)CO)O[H]	4fc54e11195da731
G6	C=CC(CO)(CO)CO	C=CC(CO[H])(CO)CO	8a835b4d12427d98
G6	C=C(C(O)=O)C(CO)(CO)CO	C=C(C(=O)O)C(CO[H])(CO)CO	ded40f6d8087cc7d
G6	C(CCO)(C(CO)(CO)O)=O	C(=O)(CCO)C(CO)(CO)O[H]	8bf0f390e0a9abbc
G6	C(C(CO)(CO)CCO)(O)=O	C(=O)(C(CCO)(CO)CO)O[H]	171a86c3906bdd7e
G6	CC(CO)(CO)O	CC(CO)(CO)O[H]	a3edde435a75b2c1
G6	CCC(CO)(CO)O	CCC(CO)(CO)O[H]	bacb9cc7a6a0b526
G6	C(CCO)=C(CO)CO	C(=C(CO)CO)CCO[H]	830f52ee1f8e65de
G6	C(CO)(CO)=C(C(O)=O)CCO	C(=C(CO)CO)(C(=O)O)CCO[H]	d51bd5d41eabb951
G6	C=C(CO)C(CO)(CO)O	C=C(CO)C(CO)(CO)O[H]	19e41ae444c3d2d3
G6	C(CO)(CO)=C(CO)CO	C(=C(CO)CO)(CO[H])CO	aec72ea26e9f9e0b
G6	C=CC(CO)=C(CO)CO	C=C/C(=C(/CO[H])\CO)/CO	66c62e3e263bafff
G6	C(CC=C(CO)CO)(O)=O	C(=C(CO)CO)CC(=O)O[H]	39dc31800192049e
G6	C(CO)(CO)=CC(CO)=O	C(=C(CO)CO)C(=O)CO[H]	320b419b5bacc77b
G6	C(CO)=C(C(O)=O)C(O)=O	C(=C(C(=O)O)C(=O)O)CO[H]	16ab8d76b6dbe7c1
G6	C(C)(CCO)=C(C(O)=O)C(O)=O	C(=C(C)CCO[H])(C(=O)O)C(=O)O	b906ceaedc6c3317
G6	C(CCC(CO)(CO)CO)=O	C(=O)CCC(CO[H])(CO)CO	db9278faf5d47ef8
G6	C(C(CO)(CO)CCCO)=O	C(=O)C(CCCO[H])(CO)CO	ff6174ead43686df
G6	C(CCC(CO)(CO)CO)(O)=O	C(=O)(CCC(CO)(CO)CO)O[H]	a4845d7d8632b75f
G6	C(C(CO)(CO)CCCO)(O)=O	C(=O)(C(CCCO)(CO)CO)O[H]	77b2aa8cbf6f404a
G6	C(C(CO)CCCO)O	C(CC(CO)CO)CO[H]	3aeb3f347dc8b152
G6	C(C(CO)(CCCO)O)O	C(CC(CO)(CO)O)CO[H]	82cd8874f1355806
G6	C(CO)(CC(CO)CO)=O	C(=O)(CC(CO)CO)CO[H]	e3c2b061231d8c1b
G6	C(C(CO)(CO)CCO)=O	C(=O)C(CCO[H])(CO)CO	8da1b7895a4d7db8
G6	C(CC(CO)(CO)CO)=O	C(=O)CC(CO[H])(CO)CO	47b516c16ebc5ba
G6	C(CC(CCO)CCO)(O)=O	C(=O)(CC(CCO)CCO)O[H]	a34b5ea93fa3e135
G6	C(CO)(C(CCO)CCO)=O	C(=O)(CO)[C@@H](CCO[H])CCO	fefaf12c1cb61969
