Generation	HMDB	KEGG	ECMDB	Computed Set	Whole Network
0.0	0.0	0.0	0.0	0.0	4.0
1.0	0.0	0.0	0.0	1.0	11.0
2.0	7.0	7.0	4.0	29.0	54.0
3.0	24.0	25.0	18.0	510.0	985.0
4.0	55.0	60.0	29.0	5106.0	35318.0
