Generation	Smiles	Inchi	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms	ESOL	Heteroatoms/Carbons
G3	C(CO)(C(C(CO)O)O)=O	ZAQJHHRNXZUBTE	150.05282342	C5H10O5	5	10	5	-2.6096	0.366	5	4	97.99	1.085	5	1.312851771445856	1.0
G3	C(C(CCO)(C(C=O)O)O)=O	FAGPJBHKKUOQAR	162.05282342	C6H10O5	6	10	5	-2.5273	-0.014	5	3	94.83	-4.9991	5	0.7943070996310865	0.8333333333333334
G3	C(C(C(C=O)O)O)(CCO)=O	KTQQRSZBGCOSES	162.05282342	C6H10O5	6	10	5	-2.3675	-0.119	5	3	94.83	-3.6515	5	0.7943070996310865	0.8333333333333334
G3	C(C(C(CO)C(CO)O)=O)=O	JOEMRRCMXVASPX	162.05282342	C6H10O5	6	10	5	-2.5085	0.099	5	3	94.83	-2.373	5	0.8999956378396644	0.8333333333333334
G3	C(CC(C(C(C=O)O)O)O)=O	DRFVLWXFACEMHK	162.05282342	C6H10O5	6	10	5	-2.5486	-0.283	5	3	94.83	-2.4079	5	0.7954937779548318	0.8333333333333334
G3	C(C(C(CC(C=O)O)O)O)=O	ZAZMXMODCOTURY	162.05282342	C6H10O5	6	10	5	-2.5486	-0.283	5	3	94.83	-3.4916	5	0.7954937779548318	0.8333333333333334
G3	C(C(C(CO)O)C(C=O)O)=O	HIPAGLNATSXMFT	162.05282342	C6H10O5	6	10	5	-2.6896	-0.065	5	3	94.83	-3.2038	5	0.90118231616341	0.8333333333333334
G3	C(C(C(CC(CO)=O)O)O)=O	ZNSXGNZNZVWMBM	162.05282342	C6H10O5	6	10	5	-2.3675	-0.119	5	3	94.83	-3.8216	5	0.7943070996310865	0.8333333333333334
G3	C(CC(CO)(C(C=O)O)O)=O	IEHDXMKHICIRFU	162.05282342	C6H10O5	6	10	5	-2.5273	-0.014	5	3	94.83	-5.3043	5	0.7943070996310865	0.8333333333333334
G3	C(C(C(CO)=O)C(CO)O)=O	SSUDYWNAIOLNKR	162.05282342	C6H10O5	6	10	5	-2.5085	0.099	5	3	94.83	-1.6738	5	0.8999956378396644	0.8333333333333334
G3	C(CC(C(C(CO)O)O)=O)=O	RXVDSZVTHMJWNV	162.05282342	C6H10O5	6	10	5	-2.3675	-0.119	5	3	94.83	-1.8329	5	0.7943070996310865	0.8333333333333334
G3	C(C(C(C(C(C)=O)O)O)O)=O	MKKWPESNDMZCAX	162.05282342	C6H10O5	6	10	5	-2.4626	-0.227	5	3	94.83	-1.4318	5	0.7920422323888738	0.8333333333333334
G3	C(C(C(C)(C(C=O)O)O)O)=O	LTIXNERYDWMFRC	162.05282342	C6H10O5	6	10	5	-2.6224	-0.122	5	3	94.83	-0.55603	5	0.7920422323888741	0.8333333333333334
G3	C(C(C(CC(CO)O)=O)O)=O	QBHBJCPWTMMDIG	162.05282342	C6H10O5	6	10	5	-2.3675	-0.119	5	3	94.83	-5.4242	5	0.7943070996310867	0.8333333333333334
G3	C(C(CCO)O)(O)=O	UFYGCFHQAXXBCF	120.042258736	C4H8O4	4	8	4	-1.3388	-0.093	4	3	77.76	-2.4724	4	0.3566140864860082	1.0
G3	C(C(C(C(CO)O)O)=O)=O	VDSAQEDKJUSZPS	148.037173356	C5H8O5	5	8	5	-2.8219	0.151	5	3	94.83	-2.2896	5	1.1729555245963417	1.0
G3	C(C(C(C(CO)O)O)O)O	HEBKCHPVOIAQTA	152.068473484	C5H12O5	5	12	5	-2.5784	0.417	5	5	101.15	-0.73911	5	1.4539346966191158	1.0
G3	C(C(CO)(CO)O)O	HXYJZJOQRLOUPP	122.0579088	C4H10O4	4	10	4	-1.9897	0.557	4	4	80.92	-4.2829	4	1.1738811540084662	1.0
G3	C(C(CO)(C(CO)O)O)O	SDXWEZQDLHNYFR	152.068473484	C5H12O5	5	12	5	-2.5571	0.686	5	5	101.15	-2.033	5	1.4527480182953705	1.0
G3	C(C(CO)(CO)O)(O)=O	OJSKBWPAXWEHAA	136.037173356	C4H8O5	4	8	5	-2.3393	0.575	5	4	97.99	-0.8415	5	1.0129426974144224	1.25
G3	C(CO)(C(CO)(C(C)O)O)=O	CLUAZGGJJOMMPW	164.068473484	C6H12O5	6	12	5	-2.229	0.257	5	4	97.99	1.4137	5	0.9307518009146428	0.8333333333333334
G3	C(C(CO)(C(C)O)O)(O)=O	WKRKESUWTIYINN	150.05282342	C5H10O5	5	10	5	-1.98	0.197	5	4	97.99	0.77366	5	0.6320294052069546	1.0
G3	C(C(CO)(C(C=O)O)O)=O	YAVWISVERGTOHY	148.037173356	C5H8O5	5	8	5	-2.9817	0.256	5	3	94.83	-2.7559	5	1.1729555245963417	1.0
G3	C(C(CO)(C(CC=O)O)O)=O	KMZKNPYVLFCBJR	162.05282342	C6H10O5	6	10	5	-2.5273	-0.014	5	3	94.83	-2.1049	5	0.7943070996310865	0.8333333333333334
G3	C(C(CO)(C(C=O)(C)O)O)=O	LLKJMSOIEJAFOF	162.05282342	C6H10O5	6	10	5	-2.6011	0.147	5	3	94.83	-2.4059	5	0.7908555540651285	0.8333333333333334
G3	C(C(CO)(C(C(C)=O)O)O)=O	KSPZMTWVXVIPRP	162.05282342	C6H10O5	6	10	5	-2.4413	0.042	5	3	94.83	-1.4805	5	0.7908555540651285	0.8333333333333334
G3	C(C(CO)(C(C)O)O)=O	JQKDKERJPQSZLX	134.0579088	C5H10O4	5	10	4	-1.8427	-0.036	4	3	77.76	-3.2406	4	0.6530716149514837	0.8
G3	C(C(C(CO)O)(C(C)O)O)=O	DXBKAMXGCDVWGR	164.068473484	C6H12O5	6	12	5	-2.4101	0.093	5	4	97.99	-2.8644	5	0.9319384792383888	0.8333333333333334
G3	C(CO)(C(CO)(CO)O)=O	KNWXMEXZFWGIPP	150.05282342	C5H10O5	5	10	5	-2.5883	0.635	5	4	97.99	0.20087	5	1.3116650931221103	1.0
G3	C(C(C(C)=O)(C(CO)O)O)=O	UZMKAOBHDMJGHD	162.05282342	C6H10O5	6	10	5	-2.4413	0.042	5	3	94.83	-1.3297	5	0.7908555540651285	0.8333333333333334
G3	C(C(C(C=O)O)O)(O)=O	JYPFTOPPKDHQEW	134.021523292	C4H6O5	4	6	5	-2.5729	0.091	5	3	94.83	-1.2721	5	0.8742331288886533	1.25
G3	C(CC(C(C(O)=O)O)O)=O	WNQQMTOQQGYXCH	148.037173356	C5H8O5	5	8	5	-2.1185	-0.179	5	3	94.83	-0.6535	5	0.4955847039233982	1.0
G3	C(C(C)(C(C(O)=O)O)O)=O	AZFXWNDHXWNFRE	148.037173356	C5H8O5	5	8	5	-2.1923	-0.018	5	3	94.83	-0.56246	5	0.4921331583574403	1.0
G3	C(C(C(C(C)=O)O)O)(O)=O	HDGNQJMIIPXNJZ	148.037173356	C5H8O5	5	8	5	-2.0325	-0.123	5	3	94.83	1.8724	5	0.4921331583574403	1.0
G3	C(C(C(C)O)O)(O)=O	LOUGYXZSURQALL	120.042258736	C4H8O4	4	8	4	-1.4339	-0.201	4	3	77.76	0.18323	4	0.3543492192437957	1.0
G3	C(C(C(CO)O)(CC=O)O)=O	TXIVWMLJMZFCNJ	162.05282342	C6H10O5	6	10	5	-2.5273	-0.014	5	3	94.83	-3.3059	5	0.7943070996310871	0.8333333333333334
G3	C(CC(C=O)O)(C(CO)O)=O	LVYQXQPAYHNLQF	162.05282342	C6H10O5	6	10	5	-2.3675	-0.119	5	3	94.83	-1.9676	5	0.7943070996310865	0.8333333333333334
G3	C(C(CO)(CC(CO)=O)O)=O	RHBBDYUCVCIMPI	162.05282342	C6H10O5	6	10	5	-2.3462	0.15	5	3	94.83	-5.3266	5	0.7931204213073412	0.8333333333333334
G3	C(C(C(CCO)=O)(CO)O)=O	XXCROCVPGJNKKK	162.05282342	C6H10O5	6	10	5	-2.3462	0.15	5	3	94.83	-3.3085	5	0.7931204213073412	0.8333333333333334
G3	C(C(C(C(CO)O)=O)CO)=O	VSCZDXPKQZQUMT	162.05282342	C6H10O5	6	10	5	-2.5085	0.099	5	3	94.83	-2.1903	5	0.8999956378396646	0.8333333333333334
G3	C(C(CC(CO)=O)O)(O)=O	YVXXPGROVYTBAL	148.037173356	C5H8O5	5	8	5	-1.9374	-0.015	5	3	94.83	-2.2187	5	0.4943980255996528	1.0
G3	C(C(C(CCO)=O)O)(O)=O	GEKHDLNOKHNDDY	148.037173356	C5H8O5	5	8	5	-1.9374	-0.015	5	3	94.83	-1.8864	5	0.494398025599653	1.0
G3	C(CC(C(CO)O)=O)(O)=O	FNWZJGILAMUKQY	148.037173356	C5H8O5	5	8	5	-1.9374	-0.015	5	3	94.83	-4.2435	5	0.4943980255996528	1.0
G3	C(C(CC(CO)O)=O)(O)=O	UQIGQRSJIKIPKZ	148.037173356	C5H8O5	5	8	5	-1.9374	-0.015	5	3	94.83	-13.301	5	0.4943980255996527	1.0
G3	C(C1C(C(C(O)O1)O)O)O	HMFHBZSHGGEWLO	150.05282342	C5H10O5	5	10	5	-2.1107	0.122	5	4	90.15	-2.9788	5	1.1869443329732705	1.0
G3	C1C(C(C(O)O1)(CO)O)O	BFZQQKBQRCDWST	150.05282342	C5H10O5	5	10	5	-2.1374	0.391	5	4	90.15	-1.7197	5	1.1857576546495243	1.0
G3	C1C(C(C(C(O)O1)O)O)O	SRBFZHDQGSBBOR	150.05282342	C5H10O5	5	10	5	-2.0188	0.122	5	4	90.15	-5.0602	5	1.1834927874073125	1.0
G3	C1(C(C(C(CO)O1)O)O)=O	CUOKHACJLGPRHD	148.037173356	C5H8O5	5	8	5	-2.3264	-0.046	5	3	86.99	-6.6215	5	1.04586140780001	1.0
G3	C1(C(C(C(CO1)O)O)O)=O	XXBSUZSONOQQGK	148.037173356	C5H8O5	5	8	5	-2.2345	-0.046	5	3	86.99	-8.4355	5	1.042409862234052	1.0
G4	C1(C(C(C(C1O)O)O)O)=O	RPLBTYVHLJOBKZ	148.037173356	C5H8O5	5	8	5	-2.4068	0.064	5	4	97.99	0.48676	5	1.4972043298094913	1.0
G4	C(C1C(C(C(C1O)O)O)=O)=O	YWMHEJKIEFCJJV	160.037173356	C6H8O5	6	8	5	-2.4244	-0.203	5	3	94.83	-1.8551	5	1.0843481962033008	0.8333333333333334
G4	C1(C(C(CC(C1O)O)O)O)=O	DNWNZFQXCIWUSQ	162.05282342	C6H10O5	6	10	5	-2.0648	-0.206	5	4	97.99	0.69015	5	1.1151043592782783	0.8333333333333334
G4	C1(C(C(C(C)(C1O)O)O)O)=O	QCSROUGOTJEQJK	162.05282342	C6H10O5	6	10	5	-2.1088	-0.045	5	4	97.99	2.6872	5	1.1151043592782783	0.8333333333333334
G4	C1(C(C(C(CO)(C1)O)O)O)=O	UHQNRQMTZAQCBL	162.05282342	C6H10O5	6	10	5	-2.1834	0.063	5	4	97.99	-1.6374	5	1.117369226520491	0.8333333333333334
G4	C(C1C(C(C(C1O)=O)CO)O)=O	QIEUDWQTLABOOV	174.05282342	C7H10O5	7	10	5	-2.2297	-0.255	5	3	94.83	-2.1992	5	0.8113883094466229	0.7142857142857143
G4	C(C1C(C(C=O)C(C1O)O)O)=O	ZSMZKAQLWLFJMO	174.05282342	C7H10O5	7	10	5	-2.5857	-0.419	5	3	94.83	-3.1309	5	0.8125749877703689	0.7142857142857143
G4	C(C1C(CC(C(C1O)O)=O)O)=O	AUPYDEHKCNYTSW	174.05282342	C7H10O5	7	10	5	-2.0824	-0.473	5	3	94.83	-0.88167	5	0.7022482256720869	0.7142857142857143
G4	C(C1C(C(C(CC1O)O)O)=O)=O	YRTULFSSNUAODY	174.05282342	C7H10O5	7	10	5	-2.0824	-0.473	5	3	94.83	-1.5595	5	0.7022482256720869	0.7142857142857143
G4	C1(C(CO)C(C=O)(CC1O)O)=O	LMGIZDHHGOFZPU	174.05282342	C7H10O5	7	10	5	-2.201	-0.204	5	3	94.83	-1.9915	5	0.7045130929142996	0.7142857142857143
G4	C1(C(C(C(C(C1)O)=O)CO)O)=O	SXWMINGTHUABIK	174.05282342	C7H10O5	7	10	5	-1.7264	-0.309	5	3	94.83	1.4724	5	0.7010615473483414	0.7142857142857143
G4	C(C1(C(CO)C(C(C1)=O)O)O)=O	TXXBHPYMVGOHPZ	174.05282342	C7H10O5	7	10	5	-2.201	-0.204	5	3	94.83	-2.2413	5	0.7045130929142996	0.7142857142857143
G4	C(C1C(C(CC1(C=O)O)O)O)=O	FIGJQDXEZHVUOS	174.05282342	C7H10O5	7	10	5	-2.557	-0.368	5	3	94.83	-3.0256	5	0.705699771238045	0.7142857142857143
G4	C(C1C(C(CC(C1O)=O)O)O)=O	GMRKEEHCNPHRFK	174.05282342	C7H10O5	7	10	5	-2.0824	-0.473	5	3	94.83	-1.0707	5	0.7022482256720869	0.7142857142857143
G4	C(C(C1C(C(CC1O)O)O)=O)=O	LXEPBSPLUZYIKY	174.05282342	C7H10O5	7	10	5	-2.3146	-0.473	5	3	94.83	-1.853	5	0.705699771238045	0.7142857142857143
G4	C1(C(C(C(C1)O)C(C=O)O)O)=O	IRXAXBQTRSAYJV	174.05282342	C7H10O5	7	10	5	-2.1397	-0.473	5	3	94.83	-0.8959	5	0.705699771238045	0.7142857142857143
G4	C(C1(CC(CC(C1O)=O)O)O)=O	ARTFWEBDMQPPEL	174.05282342	C7H10O5	7	10	5	-2.0537	-0.422	5	3	94.83	-1.4176	5	0.5953730091397634	0.7142857142857143
G4	C(CO)(C1C(CC(C1O)=O)O)=O	FZRWVEDGHRHXTC	174.05282342	C7H10O5	7	10	5	-1.9586	-0.309	5	3	94.83	1.9471	5	0.7045130929142996	0.7142857142857143
G4	C1(C(C(C(CC(C1)O)=O)O)O)=O	DNSVTLFKOGIDGH	174.05282342	C7H10O5	7	10	5	-1.5791	-0.527	5	3	94.83	1.6226	5	0.5919214635738055	0.7142857142857143
G4	C(C1C(CO)(CC(C1O)=O)O)=O	XVHPLUHOTOURLI	174.05282342	C7H10O5	7	10	5	-2.201	-0.204	5	3	94.83	-4.1835	5	0.7045130929142996	0.7142857142857143
G4	C(C1C(C(C(C1(C)O)O)O)=O)=O	WPAPXOCDBQCIPU	174.05282342	C7H10O5	7	10	5	-2.1264	-0.312	5	3	94.83	0.44364	5	0.7022482256720869	0.7142857142857143
G4	C(C1C(C(C(C)(C1O)O)O)=O)=O	DMLHUZOIIHWSRY	174.05282342	C7H10O5	7	10	5	-2.1264	-0.312	5	3	94.83	0.24133	5	0.7022482256720869	0.7142857142857143
G4	C(CC1(C(C(C(C1)=O)O)O)O)=O	AEPUFZVZGQIGAD	174.05282342	C7H10O5	7	10	5	-1.9413	-0.422	5	3	94.83	-0.63515	5	0.5988245547057215	0.7142857142857143
G4	C(C1(CC(C(C(C1)=O)O)O)O)=O	IACPYHVNAFOEMI	174.05282342	C7H10O5	7	10	5	-2.0537	-0.422	5	3	94.83	-1.8764	5	0.5953730091397634	0.7142857142857143
G4	C1(CC(C(CC(C1O)O)=O)O)=O	ZVWQVMHJCGGFNL	174.05282342	C7H10O5	7	10	5	-1.5791	-0.527	5	3	94.83	1.4703	5	0.5919214635738055	0.7142857142857143
G4	C1(C(CC(C(C=O)O)(C1)O)O)=O	MTTDGNKGKZLDMW	174.05282342	C7H10O5	7	10	5	-2.111	-0.422	5	3	94.83	-0.70887	5	0.5988245547057215	0.7142857142857143
G4	C1(C(CC(C1CO)O)O)=O	ABOBCDUIJRUDLU	146.0579088	C6H10O4	6	10	4	-1.36	-0.387	4	3	77.76	0.85549	4	0.5667291538006545	0.6666666666666666
G4	C(C1C(C(CC1O)O)O)=O	PPSMBMYANALASS	146.0579088	C6H10O4	6	10	4	-1.716	-0.551	4	3	77.76	-2.4416	4	0.5679158321244	0.6666666666666666
G4	C1(C(C(CC(C1)O)O)O)=O	CZMTWXOIKCDEOJ	146.0579088	C6H10O4	6	10	4	-1.2127	-0.605	4	3	77.76	1.461	4	0.4575890700261186	0.6666666666666666
G4	C1(C(C(C(C1)O)O)O)=O	SLBWSONHNKBIMR	132.042258736	C5H8O4	5	8	4	-1.5547	-0.335	4	3	77.76	1.5676	4	0.8396890405573318	0.8
G4	C1(C(C(C(C1CO)O)O)O)=O	LKUVPWZWJWOYKB	162.05282342	C6H10O5	6	10	5	-2.2121	0.012	5	4	97.99	0.4365	5	1.2242444430528143	0.8333333333333334
G4	C(C1C(C(C(C1O)O)O)O)=O	FWWLBYLLLIZJAL	162.05282342	C6H10O5	6	10	5	-2.5681	-0.152	5	4	97.99	-2.9812	5	1.2254311213765596	0.8333333333333334
G4	C1(C(C(C(C(C1)O)O)O)O)=O	GZYCZKBRQBKGJW	162.05282342	C6H10O5	6	10	5	-2.0648	-0.206	5	4	97.99	1.6461	5	1.1151043592782783	0.8333333333333334
G4	C(C1(C(CC(C1O)O)=O)O)=O	BESORNCBPBQUNJ	160.037173356	C6H8O5	6	8	5	-2.3957	-0.152	5	3	94.83	-0.66444	5	0.9774729796709768	0.8333333333333334
G4	C(C1(C(CC(CC1O)O)=O)O)=O	VMPQVEHWYPATEV	174.05282342	C7H10O5	7	10	5	-2.0537	-0.422	5	3	94.83	-0.48292	5	0.5953730091397634	0.7142857142857143
G4	C(C1(C(CC(C1(C)O)O)=O)O)=O	LCIIHXCGCVESHD	174.05282342	C7H10O5	7	10	5	-2.0977	-0.261	5	3	94.83	1.5553	5	0.5953730091397634	0.7142857142857143
G4	C(C1(C(CC(C)(C1O)O)=O)O)=O	KSZUGYGHDUSROW	174.05282342	C7H10O5	7	10	5	-2.0977	-0.261	5	3	94.83	0.80088	5	0.5953730091397634	0.7142857142857143
G4	C(C)(C1(C(CC(C1O)=O)O)O)=O	MSDMGYIETYMHLU	174.05282342	C7H10O5	7	10	5	-1.8553	-0.366	5	3	94.83	2.369	5	0.5953730091397634	0.7142857142857143
G4	C(C1(C(C)(CC(C1O)=O)O)O)=O	STPPOUBRBMQYGG	174.05282342	C7H10O5	7	10	5	-2.0977	-0.261	5	3	94.83	0.78667	5	0.5953730091397634	0.7142857142857143
G4	C1(C(C(C(C1)O)(CO)O)O)=O	PMAODVYIDXXALG	162.05282342	C6H10O5	6	10	5	-2.1834	0.063	5	4	97.99	1.5117	5	1.117369226520491	0.8333333333333334
G4	C(C1C(CC(C1(C=O)O)O)O)=O	KYUCBVBJBRGXTD	174.05282342	C7H10O5	7	10	5	-2.557	-0.368	5	3	94.83	-1.9048	5	0.705699771238045	0.7142857142857143
G4	C(C1C(C(C=O)(CC1O)O)O)=O	UDDWZBFOJNIHRA	174.05282342	C7H10O5	7	10	5	-2.557	-0.368	5	3	94.83	-2.8874	5	0.705699771238045	0.7142857142857143
G4	C(CC1(C(CC(C1O)=O)O)O)=O	QIUPYVIYSDJWEC	174.05282342	C7H10O5	7	10	5	-1.9413	-0.422	5	3	94.83	-0.45103	5	0.5988245547057215	0.7142857142857143
G4	C(C(C(C)O)C(CCO)O)=O	PYSZIFWAJDKTNW	162.089208928	C7H14O4	7	14	4	-1.0962	-0.627	4	3	77.76	-5.0049	4	0.0026499815532968	0.5714285714285714
G4	C(C(CO)C(CC(C)O)O)=O	RVQGVBCPLPOHQI	162.089208928	C7H14O4	7	14	4	-1.0962	-0.627	4	3	77.76	-5.5798	4	0.0026499815532964	0.5714285714285714
G4	C(C(C(C)O)C(C(CO)=O)O)=O	CPUSMWJJBISCJI	176.068473484	C7H12O5	7	12	5	-2.1492	-0.279	5	3	94.83	-2.0815	5	0.519082345632197	0.7142857142857143
G4	C(C(C(C)O)C(C=O)(CO)O)=O	FDSHEHPBHWGLQY	176.068473484	C7H12O5	7	12	5	-2.309	-0.174	5	3	94.83	-3.6203	5	0.519082345632197	0.7142857142857143
G4	C(C(C(C(CC(C)O)O)O)=O)=O	RLPBKLOISADAAA	176.068473484	C7H12O5	7	12	5	-2.0082	-0.497	5	3	94.83	-4.7044	5	0.4133938074236188	0.7142857142857143
G4	C(C(C(C)O)C(C)(CO)O)=O	FNSKUBCTEJJSJL	162.089208928	C7H14O4	7	14	4	-1.17	-0.466	4	3	77.76	-6.3816	4	-0.000801564012661	0.5714285714285714
G4	C(CO)(CC(CC(C)O)O)=O	PQZBLBSEVOBJHW	162.089208928	C7H14O4	7	14	4	-0.7741	-0.681	4	3	77.76	-4.8451	4	-0.104225234979027	0.5714285714285714
G4	C(C)(C(C(CC(C)O)O)O)=O	UNRKTQDKLHASOU	162.089208928	C7H14O4	7	14	4	-0.8692	-0.789	4	3	77.76	-2.1852	4	-0.1064901022212399	0.5714285714285714
G4	C(C(C(C)O)C(C(O)=O)O)=O	IXOGFMSUHFVHSY	162.05282342	C6H10O5	6	10	5	-1.9002	-0.339	5	3	94.83	-2.8135	5	0.2203599499245087	0.8333333333333334
G4	C(C(C(CC(O)=O)O)C(C)O)=O	YTCZJXDURLPWNQ	176.068473484	C7H12O5	7	12	5	-1.4458	-0.609	5	3	94.83	-2.1314	5	-0.1582884750407467	0.7142857142857143
G4	C(C(C=O)C(CC(C)O)O)(O)=O	IHSFWOVWMRACIR	176.068473484	C7H12O5	7	12	5	-1.4458	-0.609	5	3	94.83	-5.0935	5	-0.1582884750407463	0.7142857142857143
G4	C(C(C(C)O)C(C(O)=O)(C)O)=O	MGQBJYDCWJLMCR	176.068473484	C7H12O5	7	12	5	-1.5196	-0.448	5	3	94.83	-1.6703	5	-0.1617400206067043	0.7142857142857143
G4	C(C(CC(CC(C)O)O)=O)(O)=O	CLJFVEVVBOUFBJ	176.068473484	C7H12O5	7	12	5	-1.1237	-0.663	5	3	94.83	-11.846	5	-0.2651636915730702	0.7142857142857143
G4	C(C(CO)C(C(C=O)CO)O)=O	IYYLKFUCXKZORG	176.068473484	C7H12O5	7	12	5	-2.3762	-0.117	5	3	94.83	-3.2142	5	0.628222429406733	0.7142857142857143
G4	C(C(CO)C(CC(CO)=O)O)=O	XHDKYHQSMXPUQR	176.068473484	C7H12O5	7	12	5	-2.0541	-0.171	5	3	94.83	-3.7228	5	0.5213472128744098	0.7142857142857143
G4	C(C(CO)C(C(C(C)=O)O)O)=O	WWPRLPATMGJTHC	176.068473484	C7H12O5	7	12	5	-2.1492	-0.279	5	3	94.83	-1.8128	5	0.519082345632197	0.7142857142857143
