Generation	Inchi	Smiles	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G4	ZHOXRGYYXYBJAQ	C(C)(C(C(C(C)N)O)N)=O	146.105527688	C6H14N2O2	6	14	2.0	-2.1192	-0.671	4	3	89.34	-2.7512
G4	MCCPDOTWIJHNLR	C(C(CN)C(C(C)N)O)=O	146.105527688	C6H14N2O2	6	14	2.0	-2.3462	-0.509	4	3	89.34	-1.6778
G4	RMYKQFSJJKCFRE	C(CN)(CC(CN)(C)O)=O	146.105527688	C6H14N2O2	6	14	2.0	-2.0028	-0.294	4	3	89.34	-0.35945
G4	IKISMHMAVGGSCO	C(C)(C(C(CN)(C)O)N)=O	146.105527688	C6H14N2O2	6	14	2.0	-2.0979	-0.402	4	3	89.34	-6.6838
G4	RRRJCYRGCPHWFR	C(CN)(CC(C(N)=C)O)=O	144.089877624	C6H12N2O2	6	12	2.0	-1.3545	-0.832	4	3	89.34	-1.6572
G4	VDSVZZJRAVPNND	C(C)(C(C(C(N)=C)O)N)=O	144.089877624	C6H12N2O2	6	12	2.0	-1.4496	-0.94	4	3	89.34	-5.8175
G4	JRRAJOVWJPGVCA	C(CN)(CC(C=CN)O)=O	144.089877624	C6H12N2O2	6	12	2.0	-2.1754	-0.679	4	3	89.34	0.80579
G4	ADYXUXKTFBXCJX	C(C)(C(C(C=CN)O)N)=O	144.089877624	C6H12N2O2	6	12	2.0	-2.2705	-0.787	4	3	89.34	-3.0571
G4	LMISAZCEVIVQGP	C(CN)(CC(CCN)O)=O	146.105527688	C6H14N2O2	6	14	2.0	-1.929	-0.455	4	3	89.34	0.69319
G4	HSWCXGPGRPNAQH	C(C)(C(C(CCN)O)N)=O	146.105527688	C6H14N2O2	6	14	2.0	-2.0241	-0.563	4	3	89.34	-2.8022
G4	WNOXFXPCNZUTEZ	C(C(CN)C(C)(CN)O)=O	146.105527688	C6H14N2O2	6	14	2.0	-2.3249	-0.24	4	3	89.34	-3.2255
G4	UNQDNLYRTAASDO	C(C(CN)C(C(N)=C)O)=O	144.089877624	C6H12N2O2	6	12	2.0	-1.6766	-0.778	4	3	89.34	-5.11
G4	SDILQFXMBPFAND	C(C(CN)C(C=CN)O)=O	144.089877624	C6H12N2O2	6	12	2.0	-2.4975	-0.625	4	3	89.34	-2.675
G4	IMTCRWFCYLJCSE	C(C(CN)C(CCN)O)=O	146.105527688	C6H14N2O2	6	14	2.0	-2.2511	-0.401	4	3	89.34	-2.281
G4	YHSJBTWEGHPLNL	C(CN)(C(C(C(CO)O)O)N)=O	178.095356928	C6H14N2O4	6	14	4.0	-3.9726	0.343	6	5	129.8	-1.5222
G4	LVFMZGYQVJOORH	C(CN)(CC(C(CO)O)O)=O	163.084457896	C6H13NO4	6	13	4.0	-2.553	0.02	5	4	103.78	0.78975
G4	IDZXXKFLINFCTM	C(C)(C(C(C(CO)O)O)N)=O	163.084457896	C6H13NO4	6	13	4.0	-2.6481	-0.088	5	4	103.78	-3.1028
G4	WMVPXMDASYOXQS	C(C(CN)C(C(CO)O)O)=O	163.084457896	C6H13NO4	6	13	4.0	-2.8751	0.074	5	4	103.78	-3.0978
G4	ULIUVWGUSQMJDY	C(C(C(CC(C)O)O)N)=O	147.089543276	C6H13NO3	6	13	3.0	-1.8074	-0.651	4	3	83.55	-4.6892
G4	XNYJGIUOSSSCDY	C(C(C(C)O)C(CN)O)=O	147.089543276	C6H13NO3	6	13	3.0	-1.9484	-0.433	4	3	83.55	-3.7294
G4	KVJGZALVOABYTF	C(C(C(C(C(C=O)O)N)O)N)=O	176.079706864	C6H12N2O4	6	12	4.0	-4.366	-0.036	6	4	126.64	-2.1686
G4	QIYNFZPQCMHEIQ	C(C(C(C(C(C=O)N)O)O)N)=O	176.079706864	C6H12N2O4	6	12	4.0	-4.366	-0.036	6	4	126.64	-1.9614
G4	UOKKJQVOZSYEJM	C(C(C(C(C(C)O)N)O)N)=O	162.100442308	C6H14N2O3	6	14	3.0	-3.227	-0.328	5	4	109.57	-4.7357
G4	IKBKGABUCIWGJU	C(C(C(CC(CN)O)O)N)=O	162.100442308	C6H14N2O3	6	14	3.0	-3.1319	-0.22	5	4	109.57	-1.6354
G4	JIPNXHWGNNOYJN	C(C(C(CN)O)C(CN)O)=O	162.100442308	C6H14N2O3	6	14	3.0	-3.2729	-0.002	5	4	109.57	-2.8904
G4	YVRHGOAYXAZNAN	C(C(C(CO)(C(CO)N)O)N)=O	178.095356928	C6H14N2O4	6	14	4.0	-4.1324	0.448	6	5	129.8	-6.0283
G4	OVAIVPONJOJVQM	C(C(C(CN)O)O)(C(CO)N)=O	178.095356928	C6H14N2O4	6	14	4.0	-3.9726	0.343	6	5	129.8	-5.1513
G4	OGMXWMWFBATFQG	C(C(CO)C(C(C=O)N)O)=O	161.068807832	C6H11NO4	6	11	4.0	-3.0874	-0.141	5	3	100.62	-2.3263
G4	YXJLBXMTNNWRPY	C(C(C(CCO)O)N)=O	133.073893212	C5H11NO3	5	11	3.0	-2.1667	-0.273	4	3	83.55	-3.3964
G4	NRXKNZGIZZLODW	C(C(CO)C(CN)O)=O	133.073893212	C5H11NO3	5	11	3.0	-2.3077	-0.055	4	3	83.55	-3.0725
G4	GWNGZIRHTYFSTF	C(C(C(C(C(C=O)O)O)O)N)=O	177.063722452	C6H11NO5	6	11	5.0	-3.9682	0.04	6	4	120.85	-1.9255
G4	NTBYIQWZAVDRHA	C(C(C(C(C(C)O)O)O)N)=O	163.084457896	C6H13NO4	6	13	4.0	-2.8292	-0.252	5	4	103.78	-2.3776
G4	OOICXFVDYHNEAD	C(C(C(CC(CO)O)O)N)=O	163.084457896	C6H13NO4	6	13	4.0	-2.7341	-0.144	5	4	103.78	-6.0131
G4	YJTXAEYRLYTWJY	C(C(C(CO)O)C(CN)O)=O	163.084457896	C6H13NO4	6	13	4.0	-2.8751	0.074	5	4	103.78	-3.063
G4	OTIZFTAFGDCDNI	C(C(C(C(CO)=O)O)N)=O	147.053157768	C5H9NO4	5	9	4.0	-3.2197	0.075	5	3	100.62	-0.53299
G4	BAFZPOKIFBKLFL	C(C(CO)(C(C=O)N)O)=O	147.053157768	C5H9NO4	5	9	4.0	-3.3795	0.18	5	3	100.62	-2.765
G4	NQVRFRHQQCMYAW	C(C(C(C(CN)O)O)=O)=O	147.053157768	C5H9NO4	5	9	4.0	-3.2197	0.075	5	3	100.62	-2.0469
G4	FMLHKHHZBYPHID	C(C(C(CO)O)(C(C=O)N)O)=O	177.063722452	C6H11NO5	6	11	5.0	-3.9469	0.309	6	4	120.85	-2.6195
G4	MFZZNMBHZINFLN	C(C(C(C(C(CO)O)=O)O)N)=O	177.063722452	C6H11NO5	6	11	5.0	-3.7871	0.204	6	4	120.85	-1.4392
G4	MXBQHBXSGPCCNK	C(C(C(C(C(CN)O)=O)O)N)=O	176.079706864	C6H12N2O4	6	12	4.0	-4.1849	0.128	6	4	126.64	-1.5742
