Generation	Smiles	Inchi	Energy Change	Reaction IDs
G2	C(C(C(C(C(CO)O)N)O)O)O	UFVAKBOWVFHGBO	[-28.88]	[['175_0', '30_0']]
G2	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP	[-3.9000000000000004]	[['179_0', '5_0']]
G2	C1(CC(C(C1(CO)O)O)O)=O	OOMLFVGHKQXLAI	[-132.6]	[['201_0', '20_0']]
G2	C(C1(C(C(CC1O)O)O)O)=O	KTMZJGYSSGDOQI	[-110.85]	[['203_0', '28_0']]
G2	C(CC(C(C(CO)O)N)=O)=O	LNCPBFQXTAGTEN	[-60.81]	[['210_0', '16_0']]
G2	C(C(C(CC(CO)O)=O)N)=O	AEIDOSPMECBBFD	[-36.49]	[['212_0', '18_0']]
G2	C(CC(C=O)O)(C(CO)N)=O	AHIYIUNMGXQPLE	[-52.62]	[['214_0', '20_0']]
G2	C(C(C(C=O)O)N)(CCO)=O	QWEHPYRKIXUATR	[-25.049999999999997]	[['216_0', '22_0']]
G2	C(C(C(C(C(C)=O)N)O)O)=O	IQUYTNXYQLFGFJ	[-29.439999999999998]	[['218_0', '26_0']]
G2	C(C(C(CC(CO)=O)N)O)=O	CCNHXUOYTNIIJI	[-52.62]	[['286_0', '30_0']]
G2	C(C(C(C(C(C)=O)O)N)O)=O	MEFFHISDEHXYIV	[-57.01]	[['288_0', '30_0']]
G2	C(CC(C(C(C=O)O)N)O)=O	XEBRCGAKPBATGG	[-50.62]	[['290_0', '30_0']]
G2	C1(CC(C(C(CO)O)O1)O)=O	WIKTYYPIOVPRBF	[-67.33]	[['292_0', '32_0']]
G2	C1(COC(C(CO)O)C1O)=O	QMKUJGYJIQIANY	[-53.14]	[['294_0', '32_0']]
G2	C1(C(O)OC(C(CO)O)C1)=O	CTMYXQCRPPOKCU	[-53.14]	[['296_0', '32_0']]
G2	C1(C(C(CO)O)OC(C1)O)=O	GONGZWHRWCYDTA	[-53.14]	[['298_0', '32_0']]
G2	C(C)(C1C(C(C(O1)O)O)O)=O	VTYZWSTWPSLGHX	[-46.85]	[['300_0', '32_0']]
G2	C(CC1C(C(C(O)O1)O)O)=O	FSEGFALCGGGEPO	[-40.46]	[['302_0', '32_0']]
G2	C1(CC(C(C(CO)O1)O)O)=O	DBXNZGWNBVNDSO	[-70.03]	[['304_0', '34_0']]
G2	C1(COC(CO)C(C1O)O)=O	OCLOLUFOLJIQDC	[-55.839999999999996]	[['306_0', '34_0']]
G2	C1(C(O)OC(CO)C(C1)O)=O	UHPMJDGOAZMIID	[-55.839999999999996]	[['308_0', '34_0']]
G2	C1(C(C(CO)OC(C1)O)O)=O	PVKLTCFYNBLGMN	[-55.839999999999996]	[['310_0', '34_0']]
G2	C1(C(C(O)OC(CO)C1)O)=O	IOFQXNNENHCUQL	[-55.839999999999996]	[['312_0', '34_0']]
G2	C1(C(CO)OC(C(C1)O)O)=O	NWAQREDMTHFVFF	[-55.839999999999996]	[['314_0', '34_0']]
G2	C1(CC(C(C(CO1)O)O)O)=O	HOHFQGCXQDHZJL	[-72.89]	[['316_0', '36_0']]
G2	C1(COCC(C(C1O)O)O)=O	DBLLDNNAYQFXMT	[-58.699999999999996]	[['318_0', '36_0']]
G2	C1(C(O)OCC(C(C1)O)O)=O	FDUCWCLOCIPWJT	[-58.699999999999996]	[['320_0', '36_0']]
G2	C1(C(C(COC(C1)O)O)O)=O	PATGLOACTPYBAI	[-58.699999999999996]	[['322_0', '36_0']]
G2	C1(C(C(O)OCC(C1)O)O)=O	KGUNYMYUWFWAAR	[-58.699999999999996]	[['324_0', '36_0']]
G2	C1(C(COC(C(C1)O)O)O)=O	YYOBYHDYKCPMFE	[-58.699999999999996]	[['326_0', '36_0']]
G2	C1(C(C(C(O)OCC1)O)O)=O	KRKZFVZQYDKETD	[-58.699999999999996]	[['328_0', '36_0']]
G2	C1(COC(C(C(C1)O)O)O)=O	QQYKOAFGQUCGEA	[-58.699999999999996]	[['330_0', '36_0']]
G2	C(C(C(CO)O)O)(N)=CC=O	NTSRIUHAOCAOQN	[12.280000000000001]	[['344_0', '30_0']]
G2	C(C(C(N)=CC(CO)O)O)=O	KGUHXLCVURNHSK	[12.280000000000001]	[['346_0', '30_0']]
G2	C(C(C(CO)N)O)=O	KXMAOQJMLAAVJY	[1.7599999999999998]	[['359_0', '5_0']]
G2	C(CO)(C(C(C(CO)O)N)O)=O	ISGLIVNHDPLUFG	[-13.61]	[['361_0', '7_0']]
G2	C(CN)(C(C(C(CO)O)N)O)=O	KTLZNQVCIYBNIW	[-31.95]	[['363_0', '9_0']]
G2	C(C(CC(C(CO)O)N)=O)=O	CFIPTNRUUCHLRU	[-52.62]	[['366_0', '14_0']]
G2	C(CC(C(C(CO)N)O)=O)=O	OGOOLELVTMLOGV	[-65.45]	[['368_0', '16_0']]
G2	C(C(C(CC(CO)N)=O)O)=O	CWKBVHWILPQTCU	[-109.58]	[['370_0', '18_0']]
G2	C(CC(C=O)N)(C(CO)O)=O	NFNWRWYCUZAEON	[-52.62]	[['372_0', '20_0']]
G2	C(CC(C=O)O)(C(CN)O)=O	FDTPCSIZIQTINL	[-59.349999999999994]	[['374_0', '20_0']]
G2	C(C(C(C(CCO)=O)O)N)=O	RBDNNFSBBBQPHT	[-25.049999999999997]	[['376_0', '22_0']]
G2	C(C(C(C=O)O)O)(CCN)=O	YFKHBAKJIYEAQE	[-59.349999999999994]	[['378_0', '22_0']]
G2	C(CC(C(C(C=O)O)O)N)=O	ZROWQRUORDMNAS	[-50.62]	[['383_0', '28_0']]
G2	C1C(C(C(O)O1)O)O	FMAORJIQYMIRHF	[11.77]	[['386_0', '5_0']]
G2	C(C1C(C(C(CN)(O)O1)O)O)O	BCFSSHCZTMDDSA	[-22.97]	[['390_0', '9_0']]
G2	C(C1(CC(C(CO)O1)O)O)=O	XCOLHFJYVWHMEU	[-34.559999999999995]	[['393_0', '14_0']]
G2	C(CC1(C(C(CO1)O)O)O)=O	OJFNRRYMUBSATR	[-43.790000000000006]	[['396_0', '16_0']]
G2	C(C(C1(CC(CO1)O)O)O)=O	XSOCZPWENAPSDW	[-34.72]	[['398_0', '18_0']]
G2	C(C1C(CC(CO)(O1)O)O)=O	DNFROWGDJNTHSQ	[-34.559999999999995]	[['400_0', '24_0']]
G2	C(C1C(C(C(C)(O1)O)O)O)=O	DUPMVEXRXRIHES	[-48.03]	[['402_0', '26_0']]
G2	C(C(C1C(CC(O)O1)O)O)=O	DLPYFNDTPUTRMF	[-31.38]	[['405_0', '28_0']]
G2	C(C(C1C(C(C(O)O1)O)N)O)O	KKEUNLQCVNSTTP	[-10.559999999999999]	[['408_0', '30_0']]
G2	C1C(C(C(C(CN)(O)O1)O)O)O	IXZISFNWUWKBOM	[-25.82]	[['412_0', '9_0']]
G2	C(C1(CC(C(CO1)O)O)O)=O	LBJWYRASHSNTEP	[-37.41]	[['415_0', '14_0']]
G2	C(C1C(C(CC(O1)O)O)O)=O	MRAMFUAQJIBLST	[-34.08]	[['420_0', '28_0']]
G2	C(C1C(C(C(C(O)O1)O)N)O)O	BQCCAEOLPYCBAE	[-13.26]	[['422_0', '30_0']]
G2	C1C(C(C(C(C(O)O1)O)N)O)O	PIXGAXWTOCUWQG	[-16.11]	[['430_0', '30_0']]
G3	C1(C(C(C(C1)O)O)O)=O	SLBWSONHNKBIMR	[-99.83]	[['441_0', '67_0', '20_0']]
G3	C1(C(C(C(CC1O)O)O)O)=O	DDAFIEJZOHGAHJ	[-132.13]	[['444_0', '102_0', '20_0']]
G3	C1(C(C(C(C1)O)(CO)O)O)=O	PMAODVYIDXXALG	[-132.6]	[['446_0', '108_0', '24_0']]
G3	C1(C(CC(CO)(C1O)O)O)=O	ZMGSZYMAJOOYKF	[-132.6]	[['448_0', '108_0', '24_0']]
G3	C1(C(C(C(CO)(C1)O)O)O)=O	UHQNRQMTZAQCBL	[-132.6]	[['450_0', '112_0', '26_0']]
G3	C1(C(C(C(C)(C1O)O)O)O)=O	QCSROUGOTJEQJK	[-146.07]	[['452_0', '112_0', '26_0']]
G3	C1(C(C(CC(C1O)O)O)O)=O	DNWNZFQXCIWUSQ	[-132.13]	[['454_0', '116_0', '28_0']]
G3	C1(C(C(C(CC1N)O)O)O)=O	QNCJVABCUQWVEA	[-141.23999999999998]	[['456_0', '138_0', '20_0']]
G3	C1(C(C(C(C1)O)(CN)O)O)=O	IVFIKRYAKGDUCF	[-150.94]	[['458_0', '144_0', '24_0']]
G3	C1(C(CC(CO)(C1N)O)O)=O	RWTXOXXIKYSSBT	[-114.13999999999999]	[['460_0', '144_0', '24_0']]
G3	C1(C(C(C(CN)(C1)O)O)O)=O	XOHJPJMWGWTVTN	[-150.94]	[['462_0', '148_0', '26_0']]
G3	C1(C(C(C(C)(C1N)O)O)O)=O	HNNHXMONWFMOCV	[-127.60999999999999]	[['464_0', '148_0', '26_0']]
G3	C1(C(C(CC(C1N)O)O)O)=O	WWIBEYKNDORSPC	[-113.66]	[['466_0', '152_0', '28_0']]
G3	C1(C(C(C(C1CO)O)O)N)=O	BJSQKFGBCNITIV	[-110.81]	[['468_0', '216_0', '22_0']]
G3	C1(C(C(C(C(C1)O)O)O)N)=O	WAKARUXQIXQJOH	[-113.66]	[['470_0', '218_0', '26_0']]
G3	C1(C(C(C(C(C1)N)O)O)O)=O	FSUGCKMUTGKWIE	[-141.23000000000002]	[['500_0', '286_0', '30_0']]
G3	C1(C(C(C(C(C1)O)O)N)O)=O	CLCXFWFNEQXJJE	[-141.23000000000002]	[['502_0', '288_0', '30_0']]
G3	C(C1C(C(C(C1O)O)N)O)=O	LDPWTVIHCCDZGC	[-116.63000000000001]	[['504_0', '290_0', '30_0']]
G3	C1C(C(C(C(C=1)=O)O)O)O	UDGPTYYVDNKAPG	[-158.58]	[['506_0', '340_0', '24_0']]
G3	C1(C(C(C(C1CO)O)N)O)=O	XVMNUQMYEWNJFV	[-138.38]	[['508_0', '376_0', '22_0']]
G3	C1(C(C(C(C1CN)O)O)O)=O	OUBOXMCKEXJYDL	[-147.62]	[['510_0', '378_0', '22_0']]
G3	C(C1C(C(C(C1N)O)O)O)=O	GMVRUGGDQSSAAL	[-116.63]	[['512_0', '383_0', '28_0']]
G3	C(CO)(C(C(CO)(CN)O)O)=O	YJJIGISOUUDFAW	[-7.350000000000001]	[['519_0', '53_0', '55_0', '7_0', '9_0']]
G3	C(CO)(C(C(CO)(CO)O)N)=O	RKOMMPNHRBOXSS	[26.95]	[['521_0', '53_0', '55_0', '7_0', '9_0']]
G3	C(CN)(C(C(CO)(CO)O)O)=O	CRISNEGXHCJDRX	[-7.350000000000001]	[['523_0', '53_0', '55_0', '7_0', '9_0']]
G3	C(C(C)(C(C(CO)=O)O)O)=O	HCDKHGUYCIRFGC	[-32.41]	[['526_0', '53_0', '57_0', '7_0', '14_0']]
G3	C(C(CC(CO)(CO)O)=O)=O	GBYNVYGBOCCFCK	[-28.02]	[['528_0', '53_0', '57_0', '7_0', '14_0']]
G3	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI	[-37.05]	[['544_0', '53_0', '64_0', '7_0', '20_0']]
G3	C(CO)(C(C(CO)(C)O)O)=O	HFVQLJMYXMMRQM	[-94.00999999999999]	[['565_0', '53_0', '77_0', '7_0', '24_0']]
G3	C(CO)(CC(CO)(CO)O)=O	SUYWWIOIVQEMNS	[-89.62]	[['567_0', '53_0', '77_0', '7_0', '24_0']]
G3	C(C)(C(C(CO)(CO)O)O)=O	RBBKOZMUCUHIQM	[-94.00999999999999]	[['569_0', '53_0', '77_0', '7_0', '24_0']]
G3	C(CO)(C(C(C)O)O)=O	MRKRITSFTIHTAQ	[-35.059999999999995]	[['577_0', '53_0', '84_0', '7_0', '28_0']]
G3	C(CC(CO)(CO)O)=O	RLJYTLNHFAJLAE	[-26.02]	[['579_0', '53_0', '84_0', '7_0', '28_0']]
G3	C(CO)(C(C(CN)O)O)=O	NSKJHRGIUMZEHF	[-9.99]	[['581_0', '53_0', '120_0', '7_0', '5_0']]
G3	C(C(C(CO)(CO)O)N)=O	ZSXYDPAMQLXZSJ	[28.949999999999996]	[['583_0', '53_0', '120_0', '7_0', '5_0']]
G3	C(CC(C(CO)O)O)=O	ASJSAQIRZKANQN	[-30.839999999999996]	[['606_0', '53_0', '84_0', '7_0', '28_0']]
G3	C(C(C(C(CO)O)O)N)=O	RNZJRDIKDNXKIJ	[24.129999999999995]	[['608_0', '53_0', '120_0', '7_0', '5_0']]
G3	C(CO)(C(C(CO)(CN)O)N)=O	SIQKLYFCQUAREL	[8.620000000000005]	[['610_0', '55_0', '55_0', '9_0', '9_0']]
G3	C(CN)(C(C(CO)(CN)O)O)=O	AGNNHWCBEUMHDN	[-25.68]	[['612_0', '55_0', '55_0', '9_0', '9_0']]
G3	C(CO)(C(C(C(C)=O)O)N)=O	QZRMXSVZXCRGAO	[-21.089999999999993]	[['614_0', '55_0', '57_0', '9_0', '14_0']]
G3	C(C(C)(C(C(CO)=O)N)O)=O	MSKONFCVYLNJPN	[-16.45]	[['617_0', '55_0', '57_0', '9_0', '14_0']]
G3	C(C(C)(C(C(CN)=O)O)O)=O	FHYSZSPWXQFGGH	[-50.75]	[['619_0', '55_0', '57_0', '9_0', '14_0']]
