Generation	Smiles	Inchi	Energy Change	Reaction IDs
G3	C(CO)(C(C(C)O)O)=O	MRKRITSFTIHTAQ	[-116.34]	[['245_0', '39_0', '98_0', '5_0', '15_0']]
G3	C(CC(CO)(CO)O)=O	RLJYTLNHFAJLAE	[-107.29999999999998]	[['247_0', '39_0', '98_0', '5_0', '15_0']]
G3	C(CO)(C(C(C(CN)O)O)O)=O	AOPNPKRMTASTLC	[-95.92999999999999]	[['249_0', '39_0', '104_0', '5_0', '5_0']]
G3	C(C(C(C)O)O)(C(CO)O)=O	IWASYLACXSGJPG	[-100.1]	[['261_0', '41_0', '98_0', '7_0', '15_0']]
G3	C(CC(CO)(C(CO)O)O)=O	IDBTYBMNHBMAOU	[-91.07]	[['263_0', '41_0', '98_0', '7_0', '15_0']]
G3	C(CN)(C(C(CO)(CN)O)O)=O	AGNNHWCBEUMHDN	[-111.62]	[['275_0', '47_0', '47_0', '5_0', '5_0']]
G3	C(CO)(C(C(CO)(CN)O)N)=O	SIQKLYFCQUAREL	[-77.32]	[['277_0', '47_0', '47_0', '5_0', '5_0']]
G3	C(CC(C(C(CN)=O)O)O)=O	RWAJAMVSHPQTTE	[-134.94]	[['285_0', '47_0', '86_0', '5_0', '5_0']]
G3	C(CC(C(C(CO)=O)N)O)=O	OEVVJWOUJIUREO	[-100.64000000000001]	[['287_0', '47_0', '86_0', '5_0', '5_0']]
G3	C(C(C=O)C(CO)(CN)O)=O	ZFLFRQNBEVKBDV	[-123.57]	[['289_0', '47_0', '86_0', '5_0', '5_0']]
G3	C(C(C)(C(C(CN)=O)O)O)=O	FHYSZSPWXQFGGH	[-136.69]	[['291_0', '47_0', '88_0', '5_0', '5_0']]
G3	C(C(C)(C(C(CO)=O)N)O)=O	MSKONFCVYLNJPN	[-102.38999999999999]	[['293_0', '47_0', '88_0', '5_0', '5_0']]
G3	C(C)(C(C(C(CN)=O)O)O)=O	SQOIZOFSPPKOGH	[-141.33]	[['295_0', '47_0', '88_0', '5_0', '5_0']]
G3	C(CO)(C(C(C(C)=O)O)N)=O	QZRMXSVZXCRGAO	[-107.03]	[['297_0', '47_0', '88_0', '5_0', '5_0']]
G3	C(C(CC(CO)(CN)O)=O)=O	OMPVMQXVAIVXEY	[-132.3]	[['299_0', '47_0', '88_0', '5_0', '5_0']]
G3	C(CN)(C(C(C)O)O)=O	PPFTYFJBDQDNLS	[-134.67]	[['343_0', '47_0', '98_0', '5_0', '15_0']]
G3	C(CO)(C(C(C)O)N)=O	CXFDMCGOFSDJFK	[-127.94999999999999]	[['345_0', '47_0', '98_0', '5_0', '15_0']]
G3	C(CC(CO)(CN)O)=O	BCDIGRSIKYETOL	[-125.63999999999999]	[['347_0', '47_0', '98_0', '5_0', '15_0']]
G3	C(CN)(C(C(C(CN)O)O)O)=O	QHZCJOJZOOJVFU	[-114.27000000000001]	[['349_0', '47_0', '104_0', '5_0', '5_0']]
G3	C(CO)(C(C(C(CN)O)O)N)=O	FMTIPXRUFBJTGW	[-79.97]	[['351_0', '47_0', '104_0', '5_0', '5_0']]
G3	C(C(CO)O)(C(C(C)O)N)=O	VHAPTBUJKSFOAY	[-84.14]	[['363_0', '49_0', '98_0', '7_0', '15_0']]
G3	C(CC(CN)(C(CO)O)O)=O	LBTUWKWHCNBHBP	[-109.41]	[['365_0', '49_0', '98_0', '7_0', '15_0']]
G3	C(CC(C(CO)(CO)O)O)=O	HQMRFNOKWQUHQC	[-136.89]	[['389_0', '71_0', '98_0', '5_0', '15_0']]
G3	C(C(C=O)C(C(CN)O)O)=O	VPCLNTDBLHAJNA	[-126.21000000000001]	[['431_0', '86_0', '104_0', '5_0', '5_0']]
G3	C(C(CC(C(CN)O)O)=O)=O	KEZKOUJRKCLMLA	[-134.94]	[['481_0', '88_0', '104_0', '5_0', '5_0']]
G3	C(CC(C(CN)O)O)=O	GRAYIZYZTZDMHO	[-128.28]	[['529_0', '98_0', '104_0', '15_0', '5_0']]
G3	C(CC(C(C(CO)N)O)O)=O	MYNDUSHUEWHKOA	[-105.32]	[['531_0', '98_0', '106_0', '15_0', '7_0']]
G3	C(CN)(C(C(C(CO)O)O)O)=O	XBBIACPUMILHFE	[-95.93]	[['535_0', '5_0', '47_0', '5_0']]
G3	C(CO)(C(C(C(CO)O)O)N)=O	WENKHRNUXJHGLX	[-61.629999999999995]	[['537_0', '5_0', '47_0', '5_0']]
G3	C(C(C=O)C(C(CO)O)O)=O	AKTMIDGTSNJTSP	[-107.87]	[['541_0', '5_0', '86_0', '5_0']]
G3	C(C(CC(C(CO)O)O)=O)=O	ZGCHLOWZNKRZSN	[-116.6]	[['543_0', '5_0', '88_0', '5_0']]
G3	C(CC(C(CO)O)O)=O	ASJSAQIRZKANQN	[-109.94]	[['555_0', '5_0', '98_0', '15_0']]
G3	C(CC(C(C(CO)O)O)O)=O	VRYALKFFQXWPIH	[-93.71]	[['561_0', '7_0', '98_0', '15_0']]
G3	C(C(C(C(C(CN)O)N)O)N)=O	MRRZYOMOIUDFAO	[-43.75]	[['563_0', '10_0', '23_0', '10_0', '10_0']]
G3	C(C(C(C(CO)N)O)N)=O	WQGGDNMZQLYAIJ	[-41.64]	[['565_0', '10_0', '25_0', '10_0']]
G3	C(C(C(C(C(CN)O)O)O)N)=O	GXAVXHQQZLYQMO	[-32.14]	[['567_0', '10_0', '31_0', '10_0']]
G3	C(C(C(C(C(CO)O)N)O)N)=O	BCHSITVTOAFIPR	[-25.41]	[['569_0', '10_0', '33_0', '10_0']]
G3	C(C(C(CO)(CO)O)N)=O	ZSXYDPAMQLXZSJ	[-27.389999999999997]	[['573_0', '10_0', '39_0', '5_0']]
G3	C(CO)(C(C(CN)O)O)=O	NSKJHRGIUMZEHF	[-66.33]	[['575_0', '10_0', '39_0', '5_0']]
G3	C(C(C(CO)(C(CO)O)O)N)=O	BSZQLDXZWYISLD	[-11.149999999999999]	[['577_0', '10_0', '41_0', '7_0']]
