Generation	Inchi	Smiles
G3	WXYXERHRDKEISL	C(C(CO)O)(C(CO)O)=O
G3	MTPLMYSUTMBRKU	C(CO)(C(CO)N)=O
G3	YHKGTFSEJPIKDQ	C(C(CO)O)(C(CO)N)=O
G3	YECZZWUIAXEARY	C(C(C(C(CO)N)O)O)=O
G3	AVGPOAXYRRIZMM	C(C(C(CO)(CO)O)O)=O
G3	ZAQJHHRNXZUBTE	C(CO)(C(C(CO)O)O)=O
G3	CMOZXEKFRDIDCA	C(C(C(CO)(CN)O)O)=O
G3	ZGPHAZHLWWSPMV	C(CN)(C(C(CO)O)O)=O
G3	HPQGIDPCWDOJIW	C(CO)(C(C(CO)O)N)=O
G3	FAGPJBHKKUOQAR	C(C(CCO)(C(C=O)O)O)=O
G3	KTQQRSZBGCOSES	C(C(C(C=O)O)O)(CCO)=O
G3	JOEMRRCMXVASPX	C(C(C(CO)C(CO)O)=O)=O
G3	DRFVLWXFACEMHK	C(CC(C(C(C=O)O)O)O)=O
G3	ZAZMXMODCOTURY	C(C(C(CC(C=O)O)O)O)=O
G3	HIPAGLNATSXMFT	C(C(C(CO)O)C(C=O)O)=O
G3	ZNSXGNZNZVWMBM	C(C(C(CC(CO)=O)O)O)=O
G3	IEHDXMKHICIRFU	C(CC(CO)(C(C=O)O)O)=O
G3	SSUDYWNAIOLNKR	C(C(C(CO)=O)C(CO)O)=O
G3	RXVDSZVTHMJWNV	C(CC(C(C(CO)O)O)=O)=O
G3	MKKWPESNDMZCAX	C(C(C(C(C(C)=O)O)O)O)=O
G3	LTIXNERYDWMFRC	C(C(C(C)(C(C=O)O)O)O)=O
G3	QBHBJCPWTMMDIG	C(C(C(CC(CO)O)=O)O)=O
G3	IKHXAQXDRKSBCU	C(C(C(C(CN)O)O)O)=O
G3	UFYGCFHQAXXBCF	C(C(CCO)O)(O)=O
G3	VDSAQEDKJUSZPS	C(C(C(C(CO)O)O)=O)=O
G3	HVTGQMWTDDUILK	C(CO)(C(CN)O)=O
G3	VMWHZZCFIPURJF	C(C(C(C(CO)N)O)O)O
G3	KJJPLEZQSCZCKE	C(C(CO)N)O
G3	HEBKCHPVOIAQTA	C(C(C(C(CO)O)O)O)O
G3	WIFPJDJJFUSIFP	C(C(C(CN)O)O)O
G3	PMLGQXIKBPFHJZ	C(C(C(CO)O)N)O
G3	GRJYCUXQJJMRKX	C(C(CO)(C(CN)O)O)O
G3	HXYJZJOQRLOUPP	C(C(CO)(CO)O)O
G3	SDXWEZQDLHNYFR	C(C(CO)(C(CO)O)O)O
G3	KQIGMPWTAHJUMN	C(C(CN)O)O
G3	MTCFGRXMJLQNBG	C(C(CO)N)(O)=O
G3	JBNUARFQOCGDRK	C(C(C(CO)O)N)(O)=O
G3	OJSKBWPAXWEHAA	C(C(CO)(CO)O)(O)=O
G3	BMYNFMYTOJXKLE	C(C(CN)O)(O)=O
G3	MLDBXFQIDVIWHU	C(C(C(CO)N)O)(O)=O
G3	MKIUQSMSVAUTKI	C(C(CO)(C(C=O)O)N)=O
G3	JFFLKTNXBRMQMK	C(C(CO)(C(CC=O)O)N)=O
G3	ROKUUIAOJQBBFO	C(C(CO)(C(C=O)(C)O)N)=O
G3	FZBDPFQWGZJRMP	C(C(CO)(C(C(C)=O)O)N)=O
G3	RJAZOPJVTUZQDS	C(C(CO)(C(C)O)N)=O
G3	GYLKHSLNLFGTIU	C(C(C(C)O)(C(CN)O)O)=O
G3	WIBFUWRQHYISRX	C(C(C(CO)O)(C(C)O)N)=O
G3	SMFSTUZLWLOMDS	C(C(CN)(C(C=O)O)O)=O
G3	CLUAZGGJJOMMPW	C(CO)(C(CO)(C(C)O)O)=O
