Generation	Test Smiles	Library Smiles	Canonical Code
G4	C(C(CO)CO)(CC(CN)=O)=O	C(=O)(CC(=O)C(CO)CO)CN([H])[H]	705245a3ff8856c8
G4	C(C(CO)=O)(C(CO)CO)=O	C(=O)(C(=O)C(CO)CO)CO[H]	38483f9dcce7aa80
G4	C(C(CN)=O)(C(CO)CO)=O	C(=O)(C(=O)C(CO)CO)CN([H])[H]	869ad179455e5dc4
G4	C(CO)(CO)=C(C(CO)=O)N	C(=C(CO)CO)(C(=O)CO)N([H])[H]	9d3a02a001700e46
G4	C(CO)(CO)=C(C=O)C(CO)=O	C(=O)/C(=C(/CO[H])\CO)/C(=O)CO	a5d56eeee70be1ad
G4	C(CO)(CO)=C(C(C=O)=O)CO	C(=O)C(=O)/C(=C(/CO[H])\CO)/CO	c81f10fb5c718b23
G4	C=C(C(C=O)=O)C(CO)(CO)O	C=C(C(=O)C=O)C(CO)(CO)O[H]	8617a821f4b7338f
G4	C(CO)(CO)=C(C(CO)=O)CO	C(=C(CO)CO)(C(=O)CO)CO[H]	e244f6a52635c34a
G4	C=C(C(CO)=O)C(CO)(CO)O	C=C(C(=O)CO)C(CO)(CO)O[H]	bfaca857c7211156
G4	C(CO)(CO)=CC(CO)=O	C(=C(CO)CO)C(=O)CO[H]	320b419b5bacc77b
G4	C(CO)(CO)=C(C=O)N	C(=O)C(=C(CO)CO)N([H])[H]	1a145e67f5dc01e0
G4	C(CO)(CC(CC(CO)=O)N)=O	C(=O)(CC(CC(=O)CO)N([H])[H])CO	c1de8654b0357b27
G4	C(C(CO)(CCN)O)O	C(CN([H])[H])C(CO)(CO)O	1c6cde206fb85313
G4	C(C(CCN)=O)(C(CO)CO)=O	C(=O)(C(=O)C(CO)CO)CCN([H])[H]	72034d3135029f87
G4	C(C(CO)(CN)O)O	C(C(CO)(CO)O)N([H])[H]	8f105d853b99c3ed
G4	C(C(CCC(CO)(CO)O)=O)=O	C(=O)C(=O)CCC(CO)(CO)O[H]	23fb030e5b986995
G4	C(CO)(CCC(CO)(CO)O)=O	C(=O)(CCC(CO)(CO)O)CO[H]	53f74bac0a322f6
G4	C(C(CO)=O)(CC(CO)CO)=O	C(=O)(C(=O)CO)C[C@@H](CO[H])CO	a1e1aedf4bd50f85
G4	C(C(CN)=O)(CC(CO)CO)=O	C(=O)(C(=O)CN([H])[H])CC(CO)CO	733dbb4a92cd5083
G4	C(CC(CO)(CO)N)=O	C(=O)CC(CO)(CO)N([H])[H]	f4d67411d2e5c610
G4	C(CC(CC(CO)(CO)N)=O)=O	C(=O)CC(=O)CC(CO)(CO)N([H])[H]	6e6c03f025944d17
G4	C=C(C(OC(CO)CO)=O)N	C=C(C(=O)OC(CO)CO)N([H])[H]	3ed2251dc5f3ef43
G4	C=C(C(C(CO)(CO)O)=O)N	C=C(C(=O)C(CO)(CO)O)N([H])[H]	62bc127e52ae86d4
