Smiles	tag 
[C@@H]1([C@H]([C@@H](O[C@@H]1[C@H](C)CO)N([H])[H])O)O	omega_22330
C=C([C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O)C	omega_69657
C=C([C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O)C	omega_69657
C(=O)([C@H]1C[C@H]([C@@H]([C@@H]1O)O)O[H])CO	omega_98619
C(=O)([C@H]1C[C@H]([C@@H]([C@@H]1O)O)N([H])[H])CO	omega_98619
C(=O)([C@H]1C[C@H]([C@@H]([C@@H]1O)O)O[H])OC	omega_61656
C(=O)([C@H]1C[C@H]([C@@H]([C@@H]1O)O)N([H])[H])OC	omega_61656
C(=O)CO[C@@H]1C[C@H]([C@H]([C@@H]1O[H])O)O	omega_102617
C(=O)CO[C@@H]1C[C@H]([C@H]([C@@H]1N([H])[H])O)O	omega_102617
[C@@H]1([C@H]([C@@H](O[C@@H]1C[C@@H](C)O)O[H])O)O	omega_20250
[C@@H]1([C@H]([C@@H](O[C@@H]1C[C@@H](C)O)N([H])[H])O)O	omega_20250
[C@H]1([C@@H]([C@](C)(O[C@H]1O[H])OC)O)O	omega_40716
[C@H]1([C@@H]([C@](C)(O[C@H]1N([H])[H])OC)O)O	omega_40716
C=CC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O	omega_15912
C=CC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O	omega_15912
C(=O)(C)O[C@H]1C[C@H]([C@@H]([C@@H]1O)O)O[H]	omega_73913
C(=O)(C)O[C@H]1C[C@H]([C@@H]([C@@H]1O)O)N([H])[H]	omega_73913
C=C([C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O)OC	omega_77744
C=C([C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O)OC	omega_77744
C\1(=C\C(=O)O)/CO[C@H]([C@@H]1CO)O[H]	omega_87857
C\1(=C\C(=O)O)/CO[C@H]([C@@H]1CO)N([H])[H]	omega_87857
C1(=O)[C@H]([C@@H]([C@H](/C=C/CO)O1)O[H])O	omega_74305
C1(=O)[C@H]([C@@H]([C@H](/C=C/CO)O1)N([H])[H])O	omega_74305
C1(=C([C@H]([C@H](C1=O)O)O)O[H])CC=O	omega_69018
C1(=C([C@H]([C@H](C1=O)O)O)N([H])[H])CC=O	omega_69018
C(=C\CO)/[C@@H]1CO[C@H]([C@@H]1O[H])O	omega_96596
C(=C\CO)/[C@@H]1CO[C@H]([C@@H]1N([H])[H])O	omega_96596
[C@@H]1([C@@H]([C@H]([C@@H]([C@@H]1O)O)O[H])O)COC	omega_14391
[C@@H]1([C@@H]([C@H]([C@@H]([C@@H]1O)O)N([H])[H])O)COC	omega_14391
C=C[C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O	omega_12084
C=C[C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O	omega_12084
C1(=C)[C@H](C=O)[C@H]([C@H]([C@@H]1O[H])O)O	omega_84345
C1(=C)[C@H](C=O)[C@H]([C@H]([C@@H]1N([H])[H])O)O	omega_84345
C(=O)(C)C[C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O	omega_73701
C(=O)(C)C[C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O	omega_73701
C\1(=C/CC(=O)O)/[C@H](CO[C@@H]1O[H])O	omega_87530
C\1(=C/CC(=O)O)/[C@H](CO[C@@H]1N([H])[H])O	omega_87530
C1[C@@H]([C@H](O[C@@]1(C)O[H])OCCO)O	omega_96641
C1[C@@H]([C@H](O[C@@]1(C)N([H])[H])OCCO)O	omega_96641
C1(=C([C@H](OC1)O)O[H])CC(=O)O	omega_10279
C1(=C([C@H](OC1)O)N([H])[H])CC(=O)O	omega_10279
C\1(=C/C(=O)O)/C[C@@H]([C@@H]([C@@H]1O[H])O)O	omega_6579
C\1(=C/C(=O)O)/C[C@@H]([C@@H]([C@@H]1N([H])[H])O)O	omega_6579
C=C[C@@]1([C@H]([C@H]([C@@H](O1)O[H])O)O)C	omega_66553
C=C[C@@]1([C@H]([C@H]([C@@H](O1)N([H])[H])O)O)C	omega_66553
C(=O)[C@@]1([C@@]([C@H]([C@@H](O1)O[H])O)(C)O)C	omega_20721
C(=O)[C@@]1([C@@]([C@H]([C@@H](O1)N([H])[H])O)(C)O)C	omega_20721
C1[C@@H]([C@H]([C@H]([C@@H]1O[H])O)O)CCO	omega_79593
C1[C@@H]([C@H]([C@H]([C@@H]1N([H])[H])O)O)CCO	omega_79593
C(=O)([C@@H]1[C@@]([C@H]([C@@H](O1)O[H])O)(C)O)C	omega_75408
C(=O)([C@@H]1[C@@]([C@H]([C@@H](O1)N([H])[H])O)(C)O)C	omega_75408
C(=O)([C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O)CC	omega_49200
C(=O)([C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O)CC	omega_49200
C(=C\[C@]1([C@H]([C@H](CO1)O)O)O[H])/C=O	omega_85574
C(=C\[C@]1([C@H]([C@H](CO1)O)O)N([H])[H])/C=O	omega_85574
C\1(=C/C(=O)O)/CO[C@H]([C@@H]1CO)O[H]	omega_87853
C\1(=C/C(=O)O)/CO[C@H]([C@@H]1CO)N([H])[H]	omega_87853
[C@@H]1([C@H]([C@@H](O[C@@H]1COC)O[H])O)O	omega_42059
[C@@H]1([C@H]([C@@H](O[C@@H]1COC)N([H])[H])O)O	omega_42059
C=C[C@@H]1[C@@]([C@H]([C@@H](O1)O[H])O)(C)O	omega_67193
C=C[C@@H]1[C@@]([C@H]([C@@H](O1)N([H])[H])O)(C)O	omega_67193
C1[C@@H]([C@H]([C@H]([C@@H](O1)O[H])O)O)COC	omega_7482
C1[C@@H]([C@H]([C@H]([C@@H](O1)N([H])[H])O)O)COC	omega_7482
C1(=O)[C@@H]([C@H]([C@H]([C@@H]1O[H])O)O)CC=O	omega_2607
C1(=O)[C@@H]([C@H]([C@H]([C@@H]1N([H])[H])O)O)CC=O	omega_2607
C(=C\CO)\[C@@H]1[C@H]([C@H]([C@H](O1)O)O)O[H]	omega_42481
C(=C\CO)\[C@@H]1[C@H]([C@H]([C@H](O1)O)O)N([H])[H]	omega_42481
C1(=O)[C@@H]([C@H]([C@H]([C@@H]1O[H])O)O)CCO	omega_93796
C1(=O)[C@@H]([C@H]([C@H]([C@@H]1N([H])[H])O)O)CCO	omega_93796
[C@@H]1([C@H]([C@@H](O[C@@H]1[C@@H](C)OC)O[H])O)O	omega_22458
[C@@H]1([C@H]([C@@H](O[C@@H]1[C@@H](C)OC)N([H])[H])O)O	omega_22458
C1(=C([C@H](OC1)O)O[H])C[C@H](C=O)O	omega_84840
C1(=C([C@H](OC1)O)N([H])[H])C[C@H](C=O)O	omega_84840
C=C(C(CO)(CO)OCC=O)O[H]	omega_22729
C=C(C(CO)(CO)OCC=O)N([H])[H]	omega_22729
[C@@H]1([C@H]([C@@H](O[C@@H]1[C@H](C)OC)O[H])O)O	omega_22459
[C@@H]1([C@H]([C@@H](O[C@@H]1[C@H](C)OC)N([H])[H])O)O	omega_22459
C(=O)(CO[C@H]1C[C@H](C[C@@H]1O)O[H])O	omega_82035
C(=O)(CO[C@H]1C[C@H](C[C@@H]1O)N([H])[H])O	omega_82035
[C@@H]1([C@@H]([C@@H](O[C@H]1CCOC)O)O)O[H]	omega_7942
[C@@H]1([C@@H]([C@@H](O[C@H]1CCOC)O)O)N([H])[H]	omega_7942
C1(=O)[C@H]([C@@H]([C@@H]([C@]1(C=O)C)O)O)O[H]	omega_7575
C1(=O)[C@H]([C@@H]([C@@H]([C@]1(C=O)C)O)O)N([H])[H]	omega_7575
C1(=O)[C@@H]([C@H]([C@H]([C@@H]1O[H])O)O)COC	omega_63071
C1(=O)[C@@H]([C@H]([C@H]([C@@H]1N([H])[H])O)O)COC	omega_63071
C1(=O)C[C@@H]([C@H]([C@H]1O)O[H])CC(=O)O	omega_6602
C1(=O)C[C@@H]([C@H]([C@H]1O)N([H])[H])CC(=O)O	omega_6602
C(=O)(C[C@@H]1[C@H]([C@@H](O[C@@H]1C)O[H])O)O	omega_85019
C(=O)(C[C@@H]1[C@H]([C@@H](O[C@@H]1C)N([H])[H])O)O	omega_85019
C\1(=C/C(=O)O)/CCO[C@H]([C@@H]1O)O[H]	omega_80586
C\1(=C/C(=O)O)/CCO[C@H]([C@@H]1O)N([H])[H]	omega_80586
C(=O)(C[C@@H]1[C@H]([C@H](O[C@H]1C)O)O[H])O	omega_85006
C(=O)(C[C@@H]1[C@H]([C@H](O[C@H]1C)O)N([H])[H])O	omega_85006
[C@@H]1([C@H]([C@@H](O[C@@H]1C[C@H](C)O)O[H])O)O	omega_20219
[C@@H]1([C@H]([C@@H](O[C@@H]1C[C@H](C)O)N([H])[H])O)O	omega_20219
[C@H]1([C@@H]([C@@](C)(CO)O[C@H]1O[H])O)O	omega_40788
[C@H]1([C@@H]([C@@](C)(CO)O[C@H]1N([H])[H])O)O	omega_40788
C1(=O)[C@H]([C@@H](C[C@]1(CC=O)O)O)O[H]	omega_74276
C1(=O)[C@H]([C@@H](C[C@]1(CC=O)O)O)N([H])[H]	omega_74276
C(=O)CO[C@H]1C[C@@H]([C@@H]([C@@H]1O[H])O)O	omega_102612
C(=O)CO[C@H]1C[C@@H]([C@@H]([C@@H]1N([H])[H])O)O	omega_102612
[C@H]1([C@@H]([C@@](C)(COC)O[C@H]1O[H])O)O	omega_94961
[C@H]1([C@@H]([C@@](C)(COC)O[C@H]1N([H])[H])O)O	omega_94961
C(=C\CO)/[C@@H]1C[C@H]([C@@H](O1)O[H])O	omega_99260
C(=C\CO)/[C@@H]1C[C@H]([C@@H](O1)N([H])[H])O	omega_99260
C(=C\[C@@H]1[C@H]([C@H]([C@H](O1)O)O)O[H])\C=O	omega_74348
C(=C\[C@@H]1[C@H]([C@H]([C@H](O1)O)O)N([H])[H])\C=O	omega_74348
C1[C@@H]([C@@H](CCCO)O[C@H]1O[H])O	omega_78221
C1[C@@H]([C@@H](CCCO)O[C@H]1N([H])[H])O	omega_78221
C(=C\CO)/[C@H]1[C@H]([C@@H](CO1)O)O[H]	omega_11596
C(=C\CO)/[C@H]1[C@H]([C@@H](CO1)O)N([H])[H]	omega_11596
COCOCC[C@H]([C@H](CO[H])O)O	omega_98322
COCOCC[C@H]([C@H](CN([H])[H])O)O	omega_98322
C1(=C([C@H]([C@@H](C1)O)O)O[H])CC=O	omega_100746
C1(=C([C@H]([C@@H](C1)O)O)N([H])[H])CC=O	omega_100746
C(=O)C[C@]1(C[C@H]([C@@H]([C@@H]1O)O)O[H])O	omega_42147
C(=O)C[C@]1(C[C@H]([C@@H]([C@@H]1O)O)N([H])[H])O	omega_42147
C(=C\[C@H](CO)[C@H](C=O)O[H])/C(=O)O	omega_99081
C(=C\[C@H](CO)[C@H](C=O)N([H])[H])/C(=O)O	omega_99081
C(=O)[C@@H]1[C@@]([C@H]([C@@H](O1)O[H])O)(C)O	omega_17411
C(=O)[C@@H]1[C@@]([C@H]([C@@H](O1)N([H])[H])O)(C)O	omega_17411
C(=C\CO)/[C@]1([C@@H]([C@@H](CO1)O)O)O[H]	omega_60675
C(=C\CO)/[C@]1([C@@H]([C@@H](CO1)O)O)N([H])[H]	omega_60675
C(=O)C[C@@H]1[C@@]([C@H]([C@@H](O1)O[H])O)(C)O	omega_30720
C(=O)C[C@@H]1[C@@]([C@H]([C@@H](O1)N([H])[H])O)(C)O	omega_30720
C(=O)(C[C@H]1C[C@H]([C@@H]([C@@H]1O)O)O[H])O	omega_98539
C(=O)(C[C@H]1C[C@H]([C@@H]([C@@H]1O)O)N([H])[H])O	omega_98539
C(=O)(C[C@H]1C[C@@H]([C@@H]([C@@H]1O[H])O)O)O	omega_99771
C(=O)(C[C@H]1C[C@@H]([C@@H]([C@@H]1N([H])[H])O)O)O	omega_99771
[C@H]1([C@@H]([C@@](C)(CC)O[C@H]1O[H])O)O	omega_50120
[C@H]1([C@@H]([C@@](C)(CC)O[C@H]1N([H])[H])O)O	omega_50120
C\1(=C/[C@H](C=O)O)/CO[C@H]([C@@H]1O)O[H]	omega_80690
C\1(=C/[C@H](C=O)O)/CO[C@H]([C@@H]1O)N([H])[H]	omega_80690
C(=O)C[C@@H]1[C@H]([C@H]([C@@](C)(O1)O[H])O)O	omega_42954
C(=O)C[C@@H]1[C@H]([C@H]([C@@](C)(O1)N([H])[H])O)O	omega_42954
[C@@H]1([C@H]([C@@H](O[C@@H]1CCO)O[H])OC)O	omega_12626
[C@@H]1([C@H]([C@@H](O[C@@H]1CCO)N([H])[H])OC)O	omega_12626
C(=O)(CO[C@H]1C[C@H]([C@@H](C1)O)O[H])O	omega_83037
C(=O)(CO[C@H]1C[C@H]([C@@H](C1)O)N([H])[H])O	omega_83037
C1(=C([C@H]([C@H](C1)O)O)O[H])C=O	omega_4866
C1(=C([C@H]([C@H](C1)O)O)N([H])[H])C=O	omega_4866
C(=C\[C@H]1[C@H]([C@@H](CO1)O)O[H])/C(=O)O	omega_9034
C(=C\[C@H]1[C@H]([C@@H](CO1)O)N([H])[H])/C(=O)O	omega_9034
C1[C@@H]([C@H]([C@@H](O1)O[H])O)OCCO	omega_49353
C1[C@@H]([C@H]([C@@H](O1)N([H])[H])O)OCCO	omega_49353
C1(=C([C@H](C(=O)C1)O)O[H])CC(=O)O	omega_70356
C1(=C([C@H](C(=O)C1)O)N([H])[H])CC(=O)O	omega_70356
C(=O)C[C@@H]1C[C@@]([C@@H](O1)O[H])(CO)O	omega_27025
C(=O)C[C@@H]1C[C@@]([C@@H](O1)N([H])[H])(CO)O	omega_27025
C(=O)CC[C@@H]1[C@H]([C@H]([C@H](O1)O)O)O[H]	omega_42497
C(=O)CC[C@@H]1[C@H]([C@H]([C@H](O1)O)O)N([H])[H]	omega_42497
C(=O)[C@H]1[C@H]([C@H]([C@@H]([C@@H]1O)O)O[H])OC	omega_60447
C(=O)[C@H]1[C@H]([C@H]([C@@H]([C@@H]1O)O)N([H])[H])OC	omega_60447
C(=O)(C[C@H]1C[C@@](CO)(OC1)O[H])O	omega_73100
C(=O)(C[C@H]1C[C@@](CO)(OC1)N([H])[H])O	omega_73100
C(=O)[C@@]1([C@H]([C@H]([C@@H](O1)O[H])O)O)C	omega_17664
C(=O)[C@@]1([C@H]([C@H]([C@@H](O1)N([H])[H])O)O)C	omega_17664
C(=O)(C[C@@H]1[C@H]([C@H](O[C@@H]1C)O)O[H])O	omega_85001
C(=O)(C[C@@H]1[C@H]([C@H](O[C@@H]1C)O)N([H])[H])O	omega_85001
C1(=C([C@H]([C@H](C1)O)O)O[H])C(=O)C=O	omega_70398
C1(=C([C@H]([C@H](C1)O)O)N([H])[H])C(=O)C=O	omega_70398
C(=O)CC[C@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O	omega_41276
C(=O)CC[C@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O	omega_41276
C1(=O)[C@H](/C=C/CO)O[C@H]([C@@H]1O[H])O	omega_74549
C1(=O)[C@H](/C=C/CO)O[C@H]([C@@H]1N([H])[H])O	omega_74549
C1[C@@H]([C@H]([C@H]([C@H]1O)O)O[H])COC	omega_48755
C1[C@@H]([C@H]([C@H]([C@H]1O)O)N([H])[H])COC	omega_48755
C1(=C([C@H](OC1)O)O[H])C[C@@H](C=O)O	omega_84841
C1(=C([C@H](OC1)O)N([H])[H])C[C@@H](C=O)O	omega_84841
[C@@H]1([C@H]([C@@H](O[C@@H]1CCO)O[H])O)O	omega_48504
[C@@H]1([C@H]([C@@H](O[C@@H]1CCO)N([H])[H])O)O	omega_48504
C\1(=C/CO)/CO[C@H]([C@@H]1CO)O[H]	omega_99280
C\1(=C/CO)/CO[C@H]([C@@H]1CO)N([H])[H]	omega_99280
C\1(=C\C(=O)O)/C[C@H]([C@@H](OC1)O)O[H]	omega_91127
C\1(=C\C(=O)O)/C[C@H]([C@@H](OC1)O)N([H])[H]	omega_91127
[C@@H]1([C@@H]([C@H]([C@@H]([C@@H]1O)O)O[H])O)CCO	omega_78727
[C@@H]1([C@@H]([C@H]([C@@H]([C@@H]1O)O)N([H])[H])O)CCO	omega_78727
C\1(=C/CC(=O)O)/CO[C@H]([C@@H]1O)O[H]	omega_80646
C\1(=C/CC(=O)O)/CO[C@H]([C@@H]1O)N([H])[H]	omega_80646
C(=C\[C@H]1[C@H](C[C@@H](O1)O)O[H])/C(=O)O	omega_96559
C(=C\[C@H]1[C@H](C[C@@H](O1)O)N([H])[H])/C(=O)O	omega_96559
C\1(=C/[C@@H](C=O)O)/CO[C@@H]([C@@H]1O[H])O	omega_84825
C\1(=C/[C@@H](C=O)O)/CO[C@@H]([C@@H]1N([H])[H])O	omega_84825
C1(=C)[C@H](C=O)O[C@H]([C@H]([C@@H]1O[H])O)O	omega_30119
C1(=C)[C@H](C=O)O[C@H]([C@H]([C@@H]1N([H])[H])O)O	omega_30119
C(=O)[C@H](C[C@H]1CO[C@H]([C@@H]1O)O[H])O	omega_53592
C(=O)[C@H](C[C@H]1CO[C@H]([C@@H]1O)N([H])[H])O	omega_53592
C(=O)[C@@]1([C@H]([C@H]([C@@H](O1)O[H])O)O)CC	omega_47185
C(=O)[C@@]1([C@H]([C@H]([C@@H](O1)N([H])[H])O)O)CC	omega_47185
[C@@H]1([C@H]([C@H](O[C@@H]1CCOC)O)O)O[H]	omega_7951
[C@@H]1([C@H]([C@H](O[C@@H]1CCOC)O)O)N([H])[H]	omega_7951
C(=O)C[C@@H]1[C@H]([C@@H]([C@@](C)(O1)O[H])O)O	omega_42950
C(=O)C[C@@H]1[C@H]([C@@H]([C@@](C)(O1)N([H])[H])O)O	omega_42950
C(=O)[C@H]1[C@H]2CO[C@@]1([C@H]([C@@H]2O)O)O[H]	omega_69628
C(=O)[C@H]1[C@H]2CO[C@@]1([C@H]([C@@H]2O)O)N([H])[H]	omega_69628
C1(=C([C@H](OC1)O)O[H])CCC(=O)O	omega_84805
C1(=C([C@H](OC1)O)N([H])[H])CCC(=O)O	omega_84805
C1(=O)[C@H]([C@@H](C[C@H](CCO)O1)O[H])O	omega_58338
C1(=O)[C@H]([C@@H](C[C@H](CCO)O1)N([H])[H])O	omega_58338
C(=O)C[C@H]1C[C@H]([C@@H]([C@@H]1O)O)O[H]	omega_8469
C(=O)C[C@H]1C[C@H]([C@@H]([C@@H]1O)O)N([H])[H]	omega_8469
C1(=O)[C@H](C=O)[C@H]([C@H]([C@@H]1O[H])O)O	omega_6734
C1(=O)[C@H](C=O)[C@H]([C@H]([C@@H]1N([H])[H])O)O	omega_6734
C(=O)([C@H]1C[C@H]([C@@H]([C@@H]1O)O)O[H])O	omega_28074
C(=O)([C@H]1C[C@H]([C@@H]([C@@H]1O)O)N([H])[H])O	omega_28074
C(=O)[C@@H](C[C@@H]1[C@H](C[C@@H](O1)O[H])O)O	omega_84180
C(=O)[C@@H](C[C@@H]1[C@H](C[C@@H](O1)N([H])[H])O)O	omega_84180
C(=C\CO)/[C@H]1[C@H](C[C@@H](O1)O)O[H]	omega_2264
C(=C\CO)/[C@H]1[C@H](C[C@@H](O1)O)N([H])[H]	omega_2264
[C@@H]1([C@H]([C@H](O[C@@H]1COCC)O)O)O[H]	omega_100875
[C@@H]1([C@H]([C@H](O[C@@H]1COCC)O)O)N([H])[H]	omega_100875
C(=C\[C@H](C(=O)O[H])[C@H](CO)O)\C=O	omega_92379
C(=C\[C@H](C(=O)N([H])[H])[C@H](CO)O)\C=O	omega_92379
C(=O)CC[C@H](C(=O)O[H])[C@H](CO)O	omega_72412
C(=O)CC[C@H](C(=O)N([H])[H])[C@H](CO)O	omega_72412
C1[C@@H]([C@@H](COCCO)O[C@H]1O[H])O	omega_77061
C1[C@@H]([C@@H](COCCO)O[C@H]1N([H])[H])O	omega_77061
C1(=C([C@H]([C@@H](C1)O)O)O[H])CC(=O)O	omega_6594
C1(=C([C@H]([C@@H](C1)O)O)N([H])[H])CC(=O)O	omega_6594
[C@@H]1([C@H]([C@H]([C@@H]([C@@H]1O)O)O[H])O)COC	omega_14383
[C@@H]1([C@H]([C@H]([C@@H]([C@@H]1O)O)N([H])[H])O)COC	omega_14383
C(=O)(C[C@H]1CC[C@](CO)(O1)O[H])O	omega_73049
C(=O)(C[C@H]1CC[C@](CO)(O1)N([H])[H])O	omega_73049
C1(=C([C@H](O[C@@H]1C)O)O[H])CC(=O)O	omega_30552
C1(=C([C@H](O[C@@H]1C)O)N([H])[H])CC(=O)O	omega_30552
C(=O)(C[C@@H]1C[C@H]([C@@H](O1)O[H])O)CO	omega_65595
C(=O)(C[C@@H]1C[C@H]([C@@H](O1)N([H])[H])O)CO	omega_65595
C1[C@H]([C@@H]([C@@H]([C@]1(COC)O)O)O)O[H]	omega_14469
C1[C@H]([C@@H]([C@@H]([C@]1(COC)O)O)O)N([H])[H]	omega_14469
C1(=C)[C@@H]([C@H]([C@H]([C@@H]1O[H])O)O)C	omega_47217
C1(=C)[C@@H]([C@H]([C@H]([C@@H]1N([H])[H])O)O)C	omega_47217
C1[C@@H]([C@H]([C@@H](O1)O[H])O)O[C@H](C)CO	omega_38054
C1[C@@H]([C@H]([C@@H](O1)N([H])[H])O)O[C@H](C)CO	omega_38054
C1[C@@H](C[C@@H]([C@H]1O)OCCO)O[H]	omega_77371
C1[C@@H](C[C@@H]([C@H]1O)OCCO)N([H])[H]	omega_77371
C1[C@@H]([C@H]([C@@H](O1)O[H])O)C[C@@H](C)O	omega_55677
C1[C@@H]([C@H]([C@@H](O1)N([H])[H])O)C[C@@H](C)O	omega_55677
C(=O)C[C@H]1[C@H]([C@@H]([C@@H](O1)O)O)O[H]	omega_28624
C(=O)C[C@H]1[C@H]([C@@H]([C@@H](O1)O)O)N([H])[H]	omega_28624
[C@H]1([C@H]([C@@H](O[C@H]1CCOC)O)O)O[H]	omega_7946
[C@H]1([C@H]([C@@H](O[C@H]1CCOC)O)O)N([H])[H]	omega_7946
C1[C@@H]([C@H]([C@H]([C@H]1O)O)O[H])OCOC	omega_9212
C1[C@@H]([C@H]([C@H]([C@H]1O)O)N([H])[H])OCOC	omega_9212
C(=C\CO)/[C@@H]1[C@H](C[C@@H](O1)O[H])O	omega_3153
C(=C\CO)/[C@@H]1[C@H](C[C@@H](O1)N([H])[H])O	omega_3153
[C@@H]1([C@H]([C@@H](O[C@@H]1COC)O[H])O)CO	omega_8513
[C@@H]1([C@H]([C@@H](O[C@@H]1COC)N([H])[H])O)CO	omega_8513
C1(=C([C@H]([C@H]([C@H]1C)O)O)O[H])C=O	omega_84303
C1(=C([C@H]([C@H]([C@H]1C)O)O)N([H])[H])C=O	omega_84303
C(=O)(C)C[C@@H]1[C@H]([C@H]([C@H](O1)O)O)O[H]	omega_73747
C(=O)(C)C[C@@H]1[C@H]([C@H]([C@H](O1)O)O)N([H])[H]	omega_73747
C(=C\[C@H]1CO[C@@H]([C@@H]1O[H])O)\C(=O)O	omega_84799
