Smiles	tag 
C=C([C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O)OC	omega_77744
C=C([C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O)OC	omega_77744
C\1(=C\C(=O)O)/CO[C@H]([C@@H]1CO)O[H]	omega_87857
C\1(=C\C(=O)O)/CO[C@H]([C@@H]1CO)N([H])[H]	omega_87857
C1(=O)[C@H]([C@@H]([C@H](/C=C/CO)O1)O[H])O	omega_74305
C1(=O)[C@H]([C@@H]([C@H](/C=C/CO)O1)N([H])[H])O	omega_74305
C1(=C([C@H]([C@H](C1=O)O)O)O[H])CC=O	omega_69018
C1(=C([C@H]([C@H](C1=O)O)O)N([H])[H])CC=O	omega_69018
C(=C\CO)/[C@@H]1CO[C@H]([C@@H]1O[H])O	omega_96596
C(=C\CO)/[C@@H]1CO[C@H]([C@@H]1N([H])[H])O	omega_96596
[C@@H]1([C@@H]([C@H]([C@@H]([C@@H]1O)O)O[H])O)COC	omega_14391
[C@@H]1([C@@H]([C@H]([C@@H]([C@@H]1O)O)N([H])[H])O)COC	omega_14391
C=C[C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O	omega_12084
C=C[C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O	omega_12084
C1(=C)[C@H](C=O)[C@H]([C@H]([C@@H]1O[H])O)O	omega_84345
C1(=C)[C@H](C=O)[C@H]([C@H]([C@@H]1N([H])[H])O)O	omega_84345
C(=O)(C)C[C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O	omega_73701
C(=O)(C)C[C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O	omega_73701
C\1(=C/CC(=O)O)/[C@H](CO[C@@H]1O[H])O	omega_87530
C\1(=C/CC(=O)O)/[C@H](CO[C@@H]1N([H])[H])O	omega_87530
C1[C@@H]([C@H](O[C@@]1(C)O[H])OCCO)O	omega_96641
C1[C@@H]([C@H](O[C@@]1(C)N([H])[H])OCCO)O	omega_96641
C1(=C([C@H](OC1)O)O[H])CC(=O)O	omega_10279
C1(=C([C@H](OC1)O)N([H])[H])CC(=O)O	omega_10279
C\1(=C/C(=O)O)/C[C@@H]([C@@H]([C@@H]1O[H])O)O	omega_6579
C\1(=C/C(=O)O)/C[C@@H]([C@@H]([C@@H]1N([H])[H])O)O	omega_6579
C=C[C@@]1([C@H]([C@H]([C@@H](O1)O[H])O)O)C	omega_66553
C=C[C@@]1([C@H]([C@H]([C@@H](O1)N([H])[H])O)O)C	omega_66553
C(=O)[C@@]1([C@@]([C@H]([C@@H](O1)O[H])O)(C)O)C	omega_20721
C(=O)[C@@]1([C@@]([C@H]([C@@H](O1)N([H])[H])O)(C)O)C	omega_20721
C1[C@@H]([C@H]([C@H]([C@@H]1O[H])O)O)CCO	omega_79593
C1[C@@H]([C@H]([C@H]([C@@H]1N([H])[H])O)O)CCO	omega_79593
C(=O)([C@@H]1[C@@]([C@H]([C@@H](O1)O[H])O)(C)O)C	omega_75408
C(=O)([C@@H]1[C@@]([C@H]([C@@H](O1)N([H])[H])O)(C)O)C	omega_75408
