Generation	HMDB	Kegg	ECMDB
0.0	0.0	0.0	0.0
1.0	0.0	0.0	0.0
2.0	7.0	7.0	4.0
3.0	24.0	25.0	18.0
4.0	55.0	60.0	29.0
