Generation	HMDB	Kegg	ECMDB
0.0	0.0	0.0	0.0
1.0	0.0	0.0	0.0
2.0	7.0	6.0	2.0
3.0	14.0	13.0	7.0
4.0	37.0	32.0	18.0
5.0	45.0	47.0	23.0
