Generation	Inchi	Smiles	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms	ESOL	Heteroatoms/Carbons
G2	KQLFTMYZWPHWPS	C(C(C(C(CCO)O)=O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.3675	-0.119	5	3	94.83	-3.2446	5	0.7943070996310865	0.8333333333333334
G2	QORDBZPIKABGJM	C(CO)(C(CC(CO)=O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.1864	0.045	5	3	94.83	-0.64991	5	0.7931204213073412	0.8333333333333334
G2	ZAZMXMODCOTURY	C(C(C(CC(C=O)O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.5486	-0.283	5	3	94.83	-3.4916	5	0.7954937779548318	0.8333333333333334
G2	KFHNTUHHTDAEOF	C(C)(C(C(C(CO)=O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.2815	-0.063	5	3	94.83	1.7739	5	0.7908555540651285	0.8333333333333334
G2	LLJOTQMGGPLNOO	C(C(C(C=O)O)O)(C(C)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.4626	-0.227	5	3	94.83	-2.9726	5	0.7920422323888741	0.8333333333333334
G2	DPJVCISCLBZLDP	C(CC(C(C(CO)=O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.3675	-0.119	5	3	94.83	-0.51952	5	0.7943070996310865	0.8333333333333334
G2	WZDHWMRAASHPBX	C(CN)(C(CO)O)=O	119.058243148	C4H9NO3	4	9	3.0	-2.44	0.161	4	3	83.55	0.16273	4	1.06541321457509	1.0
G2	QQXFGEUJKYXWND	C(CC(C(C(CO)O)=O)N)=O	161.068807832	C6H11NO4	6	11	4.0	-2.7653	-0.195	5	3	100.62	-5.3195	5	0.8257354070472248	0.8333333333333334
G2	QXITZEVATLWTSU	C(C(CN)=O)(CC(CO)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.5842	-0.031	5	3	100.62	-8.8018	5	0.8245487287234793	0.8333333333333334
G2	AKPTYEPQBXADSU	C(C(C(CC(CO)O)N)=O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.7653	-0.195	5	3	100.62	-9.7904	5	0.8257354070472248	0.8333333333333334
G2	NYUCQZKJTPTIPO	C(C(CO)O)(CC(CN)=O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.5842	-0.031	5	3	100.62	-4.7904	5	0.8245487287234795	0.8333333333333334
G2	KKYLFHXPUXAHIL	C(C(CC(C(CO)=O)N)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.7653	-0.195	5	3	100.62	-5.7325	5	0.8257354070472248	0.8333333333333334
G2	TWFHIZFWGIYXLI	C(CCO)(C(C(CN)=O)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.5842	-0.031	5	3	100.62	-1.1814	5	0.8245487287234797	0.8333333333333334
G2	CWMKSPUMOZECES	C(C(C(C(CCO)N)=O)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.7653	-0.195	5	3	100.62	-7.3126	5	0.8257354070472246	0.8333333333333334
G2	FQEIXDZDGYVPNN	C(CN)(C(CC(CO)=O)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.5842	-0.031	5	3	100.62	-0.88726	5	0.8245487287234793	0.8333333333333334
G2	VPDIKTZDHYWIDA	C(C(CC(C(C=O)O)O)N)=O	161.068807832	C6H11NO4	6	11	4.0	-2.9464	-0.359	5	3	100.62	-3.2876	5	0.8269220853709701	0.8333333333333334
G2	SQOIZOFSPPKOGH	C(C)(C(C(C(CN)=O)O)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.6793	-0.139	5	3	100.62	0.94331	5	0.8222838614812666	0.8333333333333334
G2	OXDBNSYDHCFGAE	C(C(C(C=O)O)O)(C(C)N)=O	161.068807832	C6H11NO4	6	11	4.0	-2.8604	-0.303	5	3	100.62	-2.5615	5	0.8234705398050124	0.8333333333333334
G2	RWAJAMVSHPQTTE	C(CC(C(C(CN)=O)O)O)=O	161.068807832	C6H11NO4	6	11	4.0	-2.7653	-0.195	5	3	100.62	-1.3709	5	0.8257354070472246	0.8333333333333334
G2	UNXHWFMMPAWVPI	C(C(C(CO)O)O)O	122.0579088	C4H10O4	4	10	4.0	-2.011	0.288	4	4	80.92	-1.1346	4	1.1750678323322117	1.0
G2	OXFWZSUJNURRMW	C(CO)(CC(C(CO)O)O)=O	164.068473484	C6H12O5	6	12	5.0	-2.1552	0.096	5	4	97.99	-1.6379	5	0.9342033464806012	0.8333333333333334
G2	MSERTCQRMJDWLM	C(C(C(CO)O)O)(CCO)=O	164.068473484	C6H12O5	6	12	5.0	-2.1552	0.096	5	4	97.99	-1.4929	5	0.9342033464806008	0.8333333333333334
G2	ZFKOVTBOKTVFNN	C(C(CO)O)(CC(CO)O)=O	164.068473484	C6H12O5	6	12	5.0	-2.1552	0.096	5	4	97.99	-3.0105	5	0.9342033464806008	0.8333333333333334
G2	IXDZFGATLNCIOI	C(C)(C(C(C(CO)O)O)O)=O	164.068473484	C6H12O5	6	12	5.0	-2.2503	-0.012	5	4	97.99	0.97333	5	0.9319384792383884	0.8333333333333334
