Generation	Smiles	Inchi	Path
G3	C(C(C(CC(C)O)O)O)(O)=O	RADXXSNGCSTPSV	"C(C(C(CC(C)O)O)O)(O)=O
├── C(CC(C)O)=O
│   ├── C(C)=O
│   │   └── C(C(C)=O)(O)=O
│   └── C(C)=O
│       └── C(C(C)=O)(O)=O
└── C(CO)(O)=O
    └── C(C(CO)O)(O)=O
        ├── C(C(C)=O)(O)=O
        └── O
"
G3	C(C(C(C)O)O)(O)=O	LOUGYXZSURQALL	"C(C(C(C)O)O)(O)=O
├── C(C)=O
│   └── C(C(C)=O)(O)=O
└── C(CO)(O)=O
    └── C(C(CO)O)(O)=O
        ├── C(C(C)=O)(O)=O
        └── O
"
G3	C(C(C=C)(CO)O)(O)=O	SLQLBHNBWFDOTA	"C(C(C=C)(CO)O)(O)=O
└── C(C(CO)(C(C)O)O)(O)=O
    ├── C(C(CO)O)(O)=O
    │   ├── C(C(C)=O)(O)=O
    │   └── O
    └── C(C)=O
        └── C(C(C)=O)(O)=O
"
G3	CC(C(CO)O)O	YAXKTBLXMTYWDQ	"CC(C(CO)O)O
├── C(CC(C)O)=O
│   ├── C(C)=O
│   │   └── C(C(C)=O)(O)=O
│   └── C(C)=O
│       └── C(C(C)=O)(O)=O
└── O
"
G3	C(C(C(C(C)O)O)O)(O)=O	CHUMGDDVFASTDV	"C(C(C(C(C)O)O)O)(O)=O
├── C(C(CC(C)O)=O)(O)=O
│   ├── C(C(C)=O)(O)=O
│   └── C(C)=O
│       └── C(C(C)=O)(O)=O
└── O
"
G3	C(C(C)(C(CO)O)O)(O)=O	UXJDESUVPBNUTB	"C(C(C)(C(CO)O)O)(O)=O
├── C(C(C)(CC=O)O)(O)=O
│   ├── C(C(C)=O)(O)=O
│   └── C(C)=O
│       └── C(C(C)=O)(O)=O
└── O
"
G4	C1(C(C(C(C1O)O)C(C)O)O)=O	BZNNDJKSFMVVFY	"C1(C(C(C(C1O)O)C(C)O)O)=O
└── C(C(C(C)O)C(C(CO)=O)O)=O
    ├── C(C(CO)=O)=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    └── C(CC(C)O)=O
        ├── C(C)=O
        │   └── C(C(C)=O)(O)=O
        └── C(C)=O
            └── C(C(C)=O)(O)=O
"
G4	C1(C(C(CC1O)O)O)=O	UYXNQXGILWQCMO	"C1(C(C(CC1O)O)O)=O
└── C(CC(C(CO)=O)O)=O
    ├── C(C(CO)=O)=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    └── C(C)=O
        └── C(C(C)=O)(O)=O
"
G4	C(C(CO)C(CCO)O)=O	LPRRSVCCPPMUTK	"C(C(CO)C(CCO)O)=O
├── C(CCO)=O
│   ├── C(C)=O
│   │   └── C(C(C)=O)(O)=O
│   └── C=O
│       └── C(C(CO)O)(O)=O
│           ├── C(C(C)=O)(O)=O
│           └── O
└── C(CCO)=O
    ├── C(C)=O
    │   └── C(C(C)=O)(O)=O
    └── C=O
        └── C(C(CO)O)(O)=O
            ├── C(C(C)=O)(O)=O
            └── O
"
G4	C(C(CO)C(C(C=O)O)O)=O	LSXJNSZWMLDYSX	"C(C(CO)C(C(C=O)O)O)=O
├── C(C(C=O)O)=O
│   └── C(C(CO)=O)=O
│       └── C(C(CO)O)(O)=O
│           ├── C(C(C)=O)(O)=O
│           └── O
└── C(CCO)=O
    ├── C(C)=O
    │   └── C(C(C)=O)(O)=O
    └── C=O
        └── C(C(CO)O)(O)=O
            ├── C(C(C)=O)(O)=O
            └── O
"
G4	C(C(CO)C(CO)(CO)O)=O	PQESEVRWNSLGOR	"C(C(CO)C(CO)(CO)O)=O
├── C(CCO)=O
│   ├── C(C)=O
│   │   └── C(C(C)=O)(O)=O
│   └── C=O
│       └── C(C(CO)O)(O)=O
│           ├── C(C(C)=O)(O)=O
│           └── O
└── C(CO)(CO)=O
    ├── C(C(CO)=O)=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    ├── C=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    └── O
"
G4	C(CO)(C(C(CCO)O)O)=O	XHRNJZRZXZGBMY	"C(CO)(C(C(CCO)O)O)=O
├── C(CCO)=O
│   ├── C(C)=O
│   │   └── C(C(C)=O)(O)=O
│   └── C=O
│       └── C(C(CO)O)(O)=O
│           ├── C(C(C)=O)(O)=O
│           └── O
└── C(CO)(CO)=O
    ├── C(C(CO)=O)=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    ├── C=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    └── O
"
G4	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI	"C(C(C(C(CO)=O)O)O)=O
├── C(C=O)=O
│   └── C(CO)(O)=O
│       └── C(C(CO)O)(O)=O
│           ├── C(C(C)=O)(O)=O
│           └── O
└── C(CO)(CO)=O
    ├── C(C(CO)=O)=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    ├── C=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    └── O
"
G4	C(CO)(C(C(C=CC)O)O)=O	RYCHFSRHCLUTFG	"C(CO)(C(C(C=CC)O)O)=O
├── C(C)=CC=O
│   └── C(CC(C)O)=O
│       ├── C(C)=O
│       │   └── C(C(C)=O)(O)=O
│       └── C(C)=O
│           └── C(C(C)=O)(O)=O
└── C(CO)(CO)=O
    ├── C(C(CO)=O)=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    ├── C=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    └── O
"
G4	C(CO)(C(C(CC=C)O)O)=O	JQKKLRZBJKKYKA	"C(CO)(C(C(CC=C)O)O)=O
├── C(CC=C)=O
│   └── C(CC(C)O)=O
│       ├── C(C)=O
│       │   └── C(C(C)=O)(O)=O
│       └── C(C)=O
│           └── C(C(C)=O)(O)=O
└── C(CO)(CO)=O
    ├── C(C(CO)=O)=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    ├── C=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    └── O
"
G4	C(C(C=C)C(CO)(CO)O)=O	HGCVVBPIYXZFHU	"C(C(C=C)C(CO)(CO)O)=O
├── C(CC=C)=O
│   └── C(CC(C)O)=O
│       ├── C(C)=O
│       │   └── C(C(C)=O)(O)=O
│       └── C(C)=O
│           └── C(C(C)=O)(O)=O
└── C(CO)(CO)=O
    ├── C(C(CO)=O)=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    ├── C=O
    │   └── C(C(CO)O)(O)=O
    │       ├── C(C(C)=O)(O)=O
    │       └── O
    └── O
"
