Generation	Smiles	Inchi	Path
G2	C(C)(C(C(C(CO)=O)O)O)=O	KFHNTUHHTDAEOF	"C(C)(C(C(C(CO)=O)O)O)=O
└── C(C(C(C(C(C)=O)O)O)O)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(C(C(C=O)O)O)(C(C)O)=O	LLJOTQMGGPLNOO	"C(C(C(C=O)O)O)(C(C)O)=O
└── C(C(C(C(C(C)=O)O)O)O)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(CC(C(C(CO)=O)O)O)=O	DPJVCISCLBZLDP	"C(CC(C(C(CO)=O)O)O)=O
└── C(CC(C(C(C=O)O)O)O)=O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(CO)(C(C(C(CO)O)O)N)=O	WENKHRNUXJHGLX	"C(CO)(C(C(C(CO)O)O)N)=O
└── C(C(C(C(C(CO)O)O)N)O)=O
    ├── C(C(C(C(C(CO)O)O)O)O)=O
    └── N
"
G2	C(CN)(C(CO)O)=O	WZDHWMRAASHPBX	"C(CN)(C(CO)O)=O
├── C(C(C(CO)O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(C(C(C(C(CO)O)O)O)N)=O	FZHXIRIBWMQPQF	"C(C(C(C(C(CO)O)O)O)N)=O
├── C(CO)(C(C(C(CO)O)O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(C(C(CO)O)O)(C(CO)N)=O	GVVRLZJIZJWSMN	"C(C(C(CO)O)O)(C(CO)N)=O
├── C(CO)(C(C(C(CO)O)O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(C(C(CO)O)O)(C(CN)N)=O	QXIZHCOANVTGFW	"C(C(C(CO)O)O)(C(CN)N)=O
├── C(CN)(C(C(C(CO)O)O)O)=O
│   ├── C(C(C(C(C(CO)O)O)O)O)=O
│   └── N
└── N
"
G2	C(CC(C(C(CO)O)=O)N)=O	QQXFGEUJKYXWND	"C(CC(C(C(CO)O)=O)N)=O
├── C(CC(C(C(CO)O)O)=O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(C(CN)=O)(CC(CO)O)=O	QXITZEVATLWTSU	"C(C(CN)=O)(CC(CO)O)=O
├── C(C(C(CC(CO)O)=O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(C(C(CC(CO)O)N)=O)=O	AKPTYEPQBXADSU	"C(C(C(CC(CO)O)N)=O)=O
├── C(C(C(CC(CO)O)=O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(C(CO)O)(CC(CN)=O)=O	NYUCQZKJTPTIPO	"C(C(CO)O)(CC(CN)=O)=O
├── C(CC(C=O)O)(C(CO)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(C(CC(C(CO)=O)N)O)=O	KKYLFHXPUXAHIL	"C(C(CC(C(CO)=O)N)O)=O
├── C(CC(C=O)O)(C(CO)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(CCO)(C(C(CN)=O)O)=O	TWFHIZFWGIYXLI	"C(CCO)(C(C(CN)=O)O)=O
├── C(C(C(C=O)O)O)(CCO)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(C(C(C(CCO)N)=O)O)=O	CWMKSPUMOZECES	"C(C(C(C(CCO)N)=O)O)=O
├── C(C(C(C=O)O)O)(CCO)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
