Generation	Smiles	Inchi	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms	ESOL
G2	C1(CC(C(C1(CO)O)O)O)=O	OOMLFVGHKQXLAI	162.05282342	C6H10O5	6	10	5	-2.1834	0.063	5	4	97.99	1.5908	5	1.117369226520491
G2	C(C1(C(C(CC1O)O)O)O)=O	KTMZJGYSSGDOQI	162.05282342	C6H10O5	6	10	5	-2.5394	-0.101	5	4	97.99	-1.9574	5	1.1185559048442364
G2	C1(CC(C(C(CO)O)O1)O)=O	WIKTYYPIOVPRBF	162.05282342	C6H10O5	6	10	5	-2.0417	-0.316	5	3	86.99	-1.6028	5	0.6672129828347552
G2	C1(COC(C(CO)O)C1O)=O	QMKUJGYJIQIANY	162.05282342	C6H10O5	6	10	5	-2.1839	0.014	5	3	86.99	0.90308	5	0.9250188486684517
G2	C1(C(O)OC(C(CO)O)C1)=O	CTMYXQCRPPOKCU	162.05282342	C6H10O5	6	10	5	-1.6823	-0.199	5	3	86.99	-0.46531	5	0.6672129828347554
G2	C1(C(C(CO)O)OC(C1)O)=O	GONGZWHRWCYDTA	162.05282342	C6H10O5	6	10	5	-1.6823	-0.199	5	3	86.99	0.032236	5	0.6672129828347554
G2	C(C)(C1C(C(C(O1)O)O)O)=O	VTYZWSTWPSLGHX	162.05282342	C6H10O5	6	10	5	-1.7826	-0.307	5	3	86.99	-1.7788	5	0.6649481155925424
G2	C(CC1C(C(C(O)O1)O)O)=O	FSEGFALCGGGEPO	162.05282342	C6H10O5	6	10	5	-1.8686	-0.363	5	3	86.99	-4.3523	5	0.6683996611585005
G2	C1(CC(C(C(CO)O1)O)O)=O	DBXNZGWNBVNDSO	162.05282342	C6H10O5	6	10	5	-1.9844	-0.316	5	3	86.99	-0.45805	5	0.6637614372687971
G2	C1(COC(CO)C(C1O)O)=O	OCLOLUFOLJIQDC	162.05282342	C6H10O5	6	10	5	-2.1266	0.014	5	3	86.99	0.87265	5	0.9215673031024932
G2	C1(C(O)OC(CO)C(C1)O)=O	UHPMJDGOAZMIID	162.05282342	C6H10O5	6	10	5	-1.625	-0.199	5	3	86.99	1.1869	5	0.6637614372687973
G2	C1(C(C(CO)OC(C1)O)O)=O	PVKLTCFYNBLGMN	162.05282342	C6H10O5	6	10	5	-1.625	-0.199	5	3	86.99	0.87833	5	0.6637614372687971
G2	C1(C(C(O)OC(CO)C1)O)=O	IOFQXNNENHCUQL	162.05282342	C6H10O5	6	10	5	-1.625	-0.199	5	3	86.99	-2.3613	5	0.6637614372687971
G2	C1(C(CO)OC(C(C1)O)O)=O	NWAQREDMTHFVFF	162.05282342	C6H10O5	6	10	5	-1.625	-0.199	5	3	86.99	1.5058	5	0.6637614372687971
G2	C1(CC(C(C(CO1)O)O)O)=O	HOHFQGCXQDHZJL	162.05282342	C6H10O5	6	10	5	-1.8925	-0.316	5	3	86.99	-3.4491	5	0.6603098917028392
G2	C1(COCC(C(C1O)O)O)=O	DBLLDNNAYQFXMT	162.05282342	C6H10O5	6	10	5	-2.0347	0.014	5	3	86.99	-3.6584	5	0.9181157575365353
G2	C1(C(O)OCC(C(C1)O)O)=O	FDUCWCLOCIPWJT	162.05282342	C6H10O5	6	10	5	-1.5331	-0.199	5	3	86.99	-1.954	5	0.6603098917028392
G2	C1(C(C(COC(C1)O)O)O)=O	PATGLOACTPYBAI	162.05282342	C6H10O5	6	10	5	-1.5331	-0.199	5	3	86.99	-2.0791	5	0.6603098917028387
G2	C1(C(C(O)OCC(C1)O)O)=O	KGUNYMYUWFWAAR	162.05282342	C6H10O5	6	10	5	-1.5331	-0.199	5	3	86.99	1.879	5	0.6603098917028392
G2	C1(C(COC(C(C1)O)O)O)=O	YYOBYHDYKCPMFE	162.05282342	C6H10O5	6	10	5	-1.5331	-0.199	5	3	86.99	1.6367	5	0.6603098917028387
G2	C1(C(C(C(O)OCC1)O)O)=O	KRKZFVZQYDKETD	162.05282342	C6H10O5	6	10	5	-1.5331	-0.199	5	3	86.99	0.82333	5	0.6603098917028392
